,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
0,0,0,[1],0.0,0.0,0.0,[1072812.0],[223.5164937677929],[420.4909145876279],[470.39538016949314],[256.56915762870455],[453.5435784485395],[770.2630040127581],[254.28803840857285],[451.2624592284078],[283.0638522427441]
1,1,1,[2],2382.605,6420.76,4070.34014,[2841728.0],[592.0637341880615],[1113.821252679193],[1246.0111584306414],[679.6155889101756],[1201.3731074013072],[2040.3182904993298],[673.5732251416994],[1195.330743632831],[749.7963060686016]
2,2,2,[3],8311.448,27216.633,6914.22854,[2765952.0],[576.2760790986812],[1084.1206904709106],[1212.7856908485082],[661.4933228575283],[1169.3379342297576],[1985.9122534750693],[655.612081531777],[1163.4566929040063],[729.8026385224274]
3,3,3,[4],13798.581,42808.381,11755.495840000001,[5531904.0],[1152.5521581973624],[2168.2413809418213],[2425.5713816970165],[1322.9866457150565],[2338.675868459515],[3971.8245069501386],[1311.224163063554],[2326.9133858080127],[1459.6052770448548]
4,4,4,[5],1282.47,3092.9410000000003,1330.34844,[1364224.0],[284.23112828144497],[534.7104594862772],[598.170664679689],[326.2620128194519],[576.7413440242841],[979.4924706158217],[323.361264517825],[573.8405957226572],[359.95356200527704]
5,5,5,[6],1751.474,4010.907,1750.9169,[1705280.0],[355.2889103518062],[668.3880743578466],[747.7133308496113],[407.82751602431483],[720.9266800303552],[1224.365588269777],[404.2015806472812],[717.3007446533215],[449.9419525065963]
6,6,6,[7],14242.668,39625.648,14513.47852,[3871488.0],[806.6104997185761],[1517.4378455265473],[1697.5295481236512],[925.8886132236012],[1636.7159590315723],[2779.6706010739485],[917.656671665053],[1628.4840174730243],[1021.5007915567282]
7,7,7,"[8, 9, 10, 11]",889.6750000000001,2957.565,931.1510000000001,"[940800.0, 940800.0, 940800.0, 940800.0]","[0, 0, 0, 0]","[368.7485341737791, 368.7485341737791, 368.7485341737791, 368.7485341737791]","[412.51213974439054, 412.51213974439054, 412.51213974439054, 412.51213974439054]","[224.99772886310484, 224.99772886310484, 224.99772886310484, 224.99772886310484]","[397.7339912346114, 397.7339912346114, 397.7339912346114, 397.7339912346114]","[675.4803583248536, 675.4803583248536, 675.4803583248536, 675.4803583248536]","[222.99730664346157, 222.99730664346157, 222.99730664346157, 222.99730664346157]","[395.73356901496817, 395.73356901496817, 395.73356901496817, 395.73356901496817]","[248.23218997361477, 248.23218997361477, 248.23218997361477, 248.23218997361477]"
8,8,8,[16],1139.801,2879.6479999999997,1286.39724,[470400.0],[0],[184.37426708688955],[206.25606987219527],[112.49886443155242],[198.8669956173057],[337.7401791624268],[111.49865332173079],[197.86678450748408],[124.11609498680738]
9,9,9,[13],608.255,1653.138,852.1561800000001,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
10,10,10,[14],858.841,2206.3920000000003,905.96078,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
11,11,11,[12],512.1709999999999,1822.8890000000001,715.10588,[940800.0],[0],[368.7485341737791],[412.51213974439054],[224.99772886310484],[397.7339912346114],[675.4803583248536],[222.99730664346157],[395.73356901496817],[248.23218997361477]
