,op_id,op_type,suc,CPU_B,CPU_S,GPU
0,1,1,[2],8837.905,21245.269,17919.523
1,2,2,[3],719.798,1812.304,973.6750000000001
2,3,3,[4],725.672,2216.681,1174.552
3,4,4,[5],7540.978,21046.684999999998,7651.855
4,5,5,"[6, 7, 8, 9]",514.754,1662.97,953.6329999999999
5,6,6,[13],566.422,1416.01,1072.508
6,7,7,[11],724.2560000000001,1937.722,1312.677
7,8,8,[12],180.751,494.33599999999996,689.548
8,9,9,[10],165.043,685.504,719.797
9,10,10,[13],314.086,885.631,795.673
10,11,11,[13],1859.349,5945.957,3270.027
11,12,12,[13],199.00199999999998,854.923,788.881
12,13,13,[],359.62800000000004,533.462,530.254
