,Unnamed: 0,op_id,op_type,suc,CPU_B,CPU_S,GPU,"['CPU_B', 'CPU_S']","['CPU_S', 'CPU_B']"
0,0,1,1,[2],8837.905,21245.269,17919.523,[1262.7074619625046],[763.9464492033925]
1,1,2,2,[3],719.798,1812.304,973.675,[315.67686549062614],[190.98661230084812]
2,2,3,3,[4],725.672,2216.681,1174.552,[315.67686549062614],[190.98661230084812]
3,3,4,4,[5],7540.978,21046.685,7651.855,[947.0305964718785],[572.9598369025443]
4,4,5,5,"[6, 7, 8, 9]",514.754,1662.97,953.633,"[236.75764911796963, 236.75764911796963, 236.75764911796963, 236.75764911796963]","[143.23995922563608, 143.23995922563608, 143.23995922563608, 143.23995922563608]"
5,5,6,6,[13],566.422,1416.01,1072.508,[78.91921637265654],[47.74665307521203]
6,6,7,7,[11],724.2560000000001,1937.722,1312.677,[118.37882455898482],[71.61997961281804]
7,7,8,8,[12],180.751,494.336,689.548,[19.729804093164134],[11.936663268803008]
8,8,9,9,[10],165.043,685.504,719.797,[236.75764911796963],[143.23995922563608]
9,9,10,10,[13],314.086,885.631,795.673,[39.45960818632827],[23.873326537606015]
10,10,11,11,[13],1859.349,5945.957,3270.027,[157.83843274531307],[95.49330615042406]
11,11,12,12,[13],199.002,854.923,788.881,[39.45960818632827],[23.873326537606015]
12,12,13,13,"[14, 15, 16, 17]",359.62800000000004,533.462,530.254,"[315.67686549062614, 315.67686549062614, 315.67686549062614, 315.67686549062614]","[190.98661230084812, 190.98661230084812, 190.98661230084812, 190.98661230084812]"
13,13,14,14,[21],1229.9679999999998,3181.355,1953.683,[157.83843274531307],[95.49330615042406]
14,14,15,15,[19],1221.9679999999998,3112.355,1967.058,[157.83843274531307],[95.49330615042406]
15,15,16,16,[20],395.17,1242.842,1172.0929999999998,[39.45960818632827],[23.873326537606015]
16,16,17,17,[18],238.294,818.8810000000001,856.549,[315.67686549062614],[190.98661230084812]
17,17,18,18,[21],720.59,1827.845,1266.677,[78.91921637265654],[47.74665307521203]
18,18,19,19,[21],3180.443,9875.109,4784.081,[236.75764911796963],[143.23995922563608]
19,19,20,20,[21],691.422,2540.309,2093.392,[118.37882455898482],[71.61997961281804]
20,20,21,21,[22],706.964,870.715,743.714,[591.8941227949241],[358.0998980640902]
21,21,22,22,"[23, 24, 25, 26]",382.253,1192.716,645.381,"[147.97353069873103, 147.97353069873103, 147.97353069873103, 147.97353069873103]","[89.52497451602255, 89.52497451602255, 89.52497451602255, 89.52497451602255]"
22,22,23,23,[30],849.132,2271.057,2642.48,[59.18941227949241],[35.80998980640902]
23,23,24,24,[28],456.629,1246.05,1081.425,[29.594706139746204],[17.90499490320451]
24,24,25,25,[29],156.001,402.086,601.213,[4.9324510232910335],[2.984165817200752]
25,25,26,26,[27],121.46,410.336,623.255,[147.97353069873103],[89.52497451602255]
26,26,27,27,[30],384.503,1022.757,1053.925,[19.729804093164134],[11.936663268803008]
27,27,28,28,[30],1034.133,2605.768,1489.762,[64.12186330278344],[38.794155623609775]
28,28,29,29,[30],123.001,419.461,1520.471,[14.797353069873102],[8.952497451602255]
29,29,30,30,"[31, 32, 33, 34]",173.043,342.336,538.171,"[157.83843274531307, 157.83843274531307, 157.83843274531307, 157.83843274531307]","[95.49330615042406, 95.49330615042406, 95.49330615042406, 95.49330615042406]"
30,30,31,31,[38],781.59,2091.056,1639.514,[49.324510232910335],[29.84165817200752]
31,31,32,32,[36],582.2130000000001,1627.053,1401.553,[34.52715716303724],[20.889160720405265]
32,32,33,33,[37],207.669,562.17,772.2570000000001,[7.398676534936551],[4.476248725801128]
33,33,34,34,[35],121.126,522.254,603.297,[157.83843274531307],[95.49330615042406]
34,34,35,35,[38],413.211,1147.007,1082.0510000000002,[19.729804093164134],[11.936663268803008]
35,35,36,36,[38],1195.052,2981.562,1709.764,[69.05431432607448],[41.77832144081053]
36,36,37,37,[38],181.126,726.7130000000001,1627.93,[19.729804093164134],[11.936663268803008]
37,37,38,38,"[39, 40, 41, 42]",147.168,313.419,481.046,"[157.83843274531307, 157.83843274531307, 157.83843274531307, 157.83843274531307]","[95.49330615042406, 95.49330615042406, 95.49330615042406, 95.49330615042406]"
38,38,39,39,[46],630.797,1767.97,1667.722,[39.45960818632827],[23.873326537606015]
39,39,40,40,[44],650.755,1713.928,1618.389,[39.45960818632827],[23.873326537606015]
40,40,41,41,[45],215.669,561.462,820.298,[7.398676534936551],[4.476248725801128]
41,41,42,42,[43],150.709,465.045,601.0889999999999,[157.83843274531307],[95.49330615042406]
42,42,43,43,[46],407.045,1076.132,1096.384,[19.729804093164134],[11.936663268803008]
43,43,44,44,[46],1534.387,5659.289,2801.315,[78.91921637265654],[47.74665307521203]
44,44,45,45,[46],184.793,701.213,1577.263,[19.729804093164134],[11.936663268803008]
45,45,46,46,"[47, 48, 49, 50]",181.834,319.752,445.212,"[157.83843274531307, 157.83843274531307, 157.83843274531307, 157.83843274531307]","[95.49330615042406, 95.49330615042406, 95.49330615042406, 95.49330615042406]"
46,46,47,47,[54],585.005,1623.219,1321.386,[34.52715716303724],[20.889160720405265]
47,47,48,48,[52],705.631,1830.888,1519.096,[44.392059209619305],[26.857492354806766]
48,48,49,49,[53],274.29400000000004,785.797,763.298,[9.864902046582067],[5.968331634401504]
49,49,50,50,[51],132.08499999999998,454.7120000000001,577.046,[157.83843274531307],[95.49330615042406]
50,50,51,51,[54],411.8370000000001,1076.757,1032.9250000000002,[19.729804093164134],[11.936663268803008]
51,51,52,52,[54],1782.514,4451.072,2375.728,[88.78411841923861],[53.71498470961353]
52,52,53,53,[54],223.127,751.63,728.59,[19.729804093164134],[11.936663268803008]
53,53,54,54,"[55, 56, 57, 58]",153.209,343.294,443.546,"[162.7708837686041, 162.7708837686041, 162.7708837686041, 162.7708837686041]","[98.47747196762481, 98.47747196762481, 98.47747196762481, 98.47747196762481]"
54,54,55,55,[62],1253.927,3394.148,2301.519,[78.91921637265654],[47.74665307521203]
55,55,56,56,[60],781.214,2271.766,1627.097,[49.324510232910335],[29.84165817200752]
56,56,57,57,[61],253.919,710.713,731.5899999999999,[9.864902046582067],[5.968331634401504]
57,57,58,58,[59],132.043,440.42,586.547,[162.7708837686041],[98.47747196762481]
58,58,59,59,[62],666.214,1767.387,1609.847,[39.45960818632827],[23.873326537606015]
59,59,60,60,[62],2189.476,5653.455,2769.356,[98.64902046582067],[59.68331634401504]
60,60,61,61,[62],339.378,1551.802,799.09,[39.45960818632827],[23.873326537606015]
61,61,62,62,[63],282.085,381.003,481.587,[256.48745321113375],[155.1766224944391]
62,62,63,63,"[64, 65, 66, 67]",109.876,337.502,393.67,"[64.12186330278344, 64.12186330278344, 64.12186330278344, 64.12186330278344]","[38.794155623609775, 38.794155623609775, 38.794155623609775, 38.794155623609775]"
