,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
0,1,1,[2],8837.905,21245.269,16022.33934,[3211264.0],[669.0552210850901],[1258.661663313166],[1408.0414369941864],[767.9922478527312],[1357.598690080807],[2305.639623082167],[761.1641400096823],[1350.770582237758],[847.2992084432718]
1,2,2,[3],719.798,1812.304,766.17638,[802816.0],[0],[314.6654158282915],[352.0103592485466],[191.9980619631828],[339.39967252020176],[576.4099057705417],[190.29103500242059],[337.6926455594395],[211.82480211081796]
2,3,3,[4],725.672,2216.681,745.61454,[802816.0],[0],[314.6654158282915],[352.0103592485466],[191.9980619631828],[339.39967252020176],[576.4099057705417],[190.29103500242059],[337.6926455594395],[211.82480211081796]
3,4,4,[5],7540.978,21046.684999999998,7379.95982,[2408448.0],[501.7914158138176],[943.9962474848745],[1056.0310777456398],[575.9941858895484],[1018.1990175606053],[1729.229717311625],[570.8731050072616],[1013.0779366783186],[635.4744063324538]
4,5,5,"[6, 7, 8, 9]",514.754,1662.97,628.69858,"[602112.0, 602112.0, 602112.0, 602112.0]","[0, 0, 0, 0]","[235.99906187121863, 235.99906187121863, 235.99906187121863, 235.99906187121863]","[264.00776943640994, 264.00776943640994, 264.00776943640994, 264.00776943640994]","[143.9985464723871, 143.9985464723871, 143.9985464723871, 143.9985464723871]","[254.54975439015132, 254.54975439015132, 254.54975439015132, 254.54975439015132]","[432.3074293279063, 432.3074293279063, 432.3074293279063, 432.3074293279063]","[142.7182762518154, 142.7182762518154, 142.7182762518154, 142.7182762518154]","[253.26948416957964, 253.26948416957964, 253.26948416957964, 253.26948416957964]","[158.86860158311345, 158.86860158311345, 158.86860158311345, 158.86860158311345]"
5,6,6,[13],566.422,1416.01,748.59374,[200704.0],[0],[78.66635395707287],[88.00258981213665],[47.9995154907957],[0],[144.10247644263544],[47.572758750605146],[84.42316138985987],[0]
6,7,7,[11],724.2560000000001,1937.722,917.2084799999999,[301056.0],[0],[117.99953093560931],[132.00388471820497],[71.99927323619355],[127.27487719507566],[216.15371466395314],[71.3591381259077],[126.63474208478982],[79.43430079155672]
7,8,8,[12],180.751,494.33599999999996,373.09062,[50176.0],[0],[19.666588489268218],[22.000647453034162],[11.999878872698925],[0],[36.02561911065886],[11.893189687651287],[21.105790347464968],[0]
8,9,9,[10],165.043,685.504,502.83252000000005,[602112.0],[0],[235.99906187121863],[264.00776943640994],[143.9985464723871],[254.54975439015132],[432.3074293279063],[142.7182762518154],[253.26948416957964],[158.86860158311345]
9,10,10,[13],314.086,885.631,474.47978,[100352.0],[0],[39.333176978536436],[44.001294906068324],[23.99975774539785],[0],[72.05123822131772],[23.786379375302573],[42.211580694929935],[0]
10,11,11,[13],1859.349,5945.957,1998.52082,[401408.0],[0],[157.33270791414574],[176.0051796242733],[95.9990309815914],[169.69983626010088],[288.20495288527087],[95.14551750121029],[168.84632277971974],[105.91240105540898]
11,12,12,[13],199.00199999999998,854.923,505.20586000000003,[100352.0],[0],[39.333176978536436],[44.001294906068324],[23.99975774539785],[0],[72.05123822131772],[23.786379375302573],[42.211580694929935],[0]
12,13,13,"[]",359.62800000000004,533.462,226.53104000000002,"[802816.0, 802816.0, 802816.0, 802816.0]","[0, 0, 0, 0]","[314.6654158282915, 314.6654158282915, 314.6654158282915, 314.6654158282915]","[352.0103592485466, 352.0103592485466, 352.0103592485466, 352.0103592485466]","[191.9980619631828, 191.9980619631828, 191.9980619631828, 191.9980619631828]","[339.39967252020176, 339.39967252020176, 339.39967252020176, 339.39967252020176]","[576.4099057705417, 576.4099057705417, 576.4099057705417, 576.4099057705417]","[190.29103500242059, 190.29103500242059, 190.29103500242059, 190.29103500242059]","[337.6926455594395, 337.6926455594395, 337.6926455594395, 337.6926455594395]","[211.82480211081796, 211.82480211081796, 211.82480211081796, 211.82480211081796]"
