,Unnamed: 0,op_id,op_type,suc,CPU_B,CPU_S,GPU,"['CPU_B', 'CPU_S']","['CPU_S', 'CPU_B']","['CPU_B', 'GPU']","['GPU', 'CPU_B']","['CPU_S', 'GPU']","['GPU', 'CPU_S']",['size']
0,0,1,1,[2],8837.905,21245.269,17919.523,[1258.661663313166],[767.9922478527312],[984.3918327725505],[337.5145357880464],[1881.9900188605309],[927.1209780161221],[3211264.0]
1,1,2,2,[3],719.798,1812.304,973.675,[314.6654158282915],[191.9980619631828],[246.09795819313763],[84.3786339470116],[470.4975047151327],[231.78024450403052],[802816.0]
2,2,3,3,[4],725.672,2216.681,1174.552,[314.6654158282915],[191.9980619631828],[246.09795819313763],[84.3786339470116],[470.4975047151327],[231.78024450403052],[802816.0]
3,3,4,4,[5],7540.978,21046.685,7651.855,[943.9962474848745],[575.9941858895484],[738.2938745794129],[253.13590184103475],[1411.4925141453982],[695.3407335120917],[2408448.0]
4,4,5,5,"[6, 7, 8, 9]",514.754,1662.97,953.633,"[235.99906187121863, 235.99906187121863, 235.99906187121863, 235.99906187121863]","[143.9985464723871, 143.9985464723871, 143.9985464723871, 143.9985464723871]","[184.57346864485322, 184.57346864485322, 184.57346864485322, 184.57346864485322]","[63.28397546025869, 63.28397546025869, 63.28397546025869, 63.28397546025869]","[352.87312853634955, 352.87312853634955, 352.87312853634955, 352.87312853634955]","[173.83518337802292, 173.83518337802292, 173.83518337802292, 173.83518337802292]","[602112.0, 602112.0, 602112.0, 602112.0]"
5,5,6,6,[13],566.422,1416.01,1072.508,[78.66635395707287],[47.9995154907957],[61.52448954828441],[21.0946584867529],[117.62437617878318],[57.94506112600763],[200704.0]
6,6,7,7,[11],724.2560000000001,1937.722,1312.677,[117.99953093560931],[71.99927323619355],[92.28673432242661],[31.641987730129344],[176.43656426817478],[86.91759168901146],[301056.0]
7,7,8,8,[12],180.751,494.336,689.548,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
8,8,9,9,[10],165.043,685.504,719.797,[235.99906187121863],[143.9985464723871],[184.57346864485322],[63.28397546025869],[352.87312853634955],[173.83518337802292],[602112.0]
9,9,10,10,[13],314.086,885.631,795.673,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
10,10,11,11,[13],1859.349,5945.957,3270.027,[157.33270791414574],[95.9990309815914],[123.04897909656881],[42.1893169735058],[235.24875235756636],[115.89012225201526],[401408.0]
11,11,12,12,[13],199.002,854.923,788.881,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
12,12,13,13,"[14, 15, 16, 17]",359.62800000000004,533.462,530.254,"[314.6654158282915, 314.6654158282915, 314.6654158282915, 314.6654158282915]","[191.9980619631828, 191.9980619631828, 191.9980619631828, 191.9980619631828]","[246.09795819313763, 246.09795819313763, 246.09795819313763, 246.09795819313763]","[84.3786339470116, 84.3786339470116, 84.3786339470116, 84.3786339470116]","[470.4975047151327, 470.4975047151327, 470.4975047151327, 470.4975047151327]","[231.78024450403052, 231.78024450403052, 231.78024450403052, 231.78024450403052]","[802816.0, 802816.0, 802816.0, 802816.0]"
13,13,14,14,[21],1229.9679999999998,3181.355,1953.683,[157.33270791414574],[95.9990309815914],[123.04897909656881],[42.1893169735058],[235.24875235756636],[115.89012225201526],[401408.0]
14,14,15,15,[19],1221.9679999999998,3112.355,1967.058,[157.33270791414574],[95.9990309815914],[123.04897909656881],[42.1893169735058],[235.24875235756636],[115.89012225201526],[401408.0]
15,15,16,16,[20],395.17,1242.842,1172.0929999999998,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
16,16,17,17,[18],238.294,818.8810000000001,856.549,[314.6654158282915],[191.9980619631828],[246.09795819313763],[84.3786339470116],[470.4975047151327],[231.78024450403052],[802816.0]
17,17,18,18,[21],720.59,1827.845,1266.677,[78.66635395707287],[47.9995154907957],[61.52448954828441],[21.0946584867529],[117.62437617878318],[57.94506112600763],[200704.0]
18,18,19,19,[21],3180.443,9875.109,4784.081,[235.99906187121863],[143.9985464723871],[184.57346864485322],[63.28397546025869],[352.87312853634955],[173.83518337802292],[602112.0]
19,19,20,20,[21],691.422,2540.309,2093.392,[117.99953093560931],[71.99927323619355],[92.28673432242661],[31.641987730129344],[176.43656426817478],[86.91759168901146],[301056.0]
20,20,21,21,[22],706.964,870.715,743.714,[589.9976546780465],[359.9963661809677],[461.433671612133],[158.2099386506467],[882.1828213408738],[434.58795844505727],[1505280.0]
