,op_id,op_type,suc,MACA,CV_DSP
0,Unsqueeze_12,Unsqueeze,['Concat_13'],-1,2357348
1,Reshape_231,Reshape,['Tile_234'],-1,143690
2,Concat_13,Concat,['Squeeze_14'],2535220,2535220
3,Tile_234,Tile,['MatMul_235'],-1,143690
4,Squeeze_14,Squeeze,['Conv_15'],300,300
5,MatMul_235,MatMul,['Squeeze_add_by_lhy'],-1,166809
6,Conv_15,Conv,['Relu_16'],2710816,55584515
7,Squeeze_add_by_lhy,Squeeze,['Slice_249'],300,300
8,Relu_16,Relu,['MaxPool_17'],4698517,4698517
9,Slice_249,Slice,"['Slice_254', 'ScatterND_328']",-1,139313
10,MaxPool_17,MaxPool,"['Conv_18', 'Conv_23']",2234684,24868501
11,Slice_254,Slice,['Sub_256'],-1,139313
12,Conv_18,Conv,['Relu_19'],2073901,2620741
13,Conv_23,Conv,['Add_24'],2150748,4864267
14,Sub_256,Sub,['Div_258'],-1,147138
15,Relu_19,Relu,['Conv_20'],2849535,2849535
16,Div_258,Div,['ScatterND_328'],-1,340873
17,Conv_20,Conv,['Relu_21'],2278331,48693889
18,ScatterND_328,ScatterND,"['Slice_333', 'ScatterND_470']",-1,107621
19,Relu_21,Relu,['Conv_22'],2849535,2849535
20,Slice_333,Slice,['Sub_335'],-1,139313
21,Conv_22,Conv,['Add_24'],2150748,4864267
22,Sub_335,Sub,['Div_337'],-1,147138
23,Add_24,Add,['Relu_25'],-1,5461533
24,Div_337,Div,['ScatterND_470'],-1,340873
25,Relu_25,Relu,"['Conv_26', 'Add_31']",4698517,4698517
26,ScatterND_470,ScatterND,"['Slice_475', 'ScatterND_612']",-1,107621
27,Conv_26,Conv,['Relu_27'],2150748,4864267
28,Slice_475,Slice,['Sub_477'],-1,139313
29,Relu_27,Relu,['Conv_28'],2849535,2849535
30,Sub_477,Sub,['Div_479'],-1,147138
31,Conv_28,Conv,['Relu_29'],2278331,48693889
32,Div_479,Div,['ScatterND_612'],-1,340873
33,Relu_29,Relu,['Conv_30'],2849535,2849535
34,ScatterND_612,ScatterND,['Reshape_613'],-1,107621
35,Conv_30,Conv,['Add_31'],2150748,4864267
36,Reshape_613,Reshape,['Mul_623'],-1,163634
37,Add_31,Add,['Relu_32'],-1,5461533
38,Relu_32,Relu,"['Conv_33', 'Add_38']",4698517,4698517
39,Conv_33,Conv,['Relu_34'],2150748,4864267
40,Relu_34,Relu,['Conv_35'],2849535,2849535
41,Conv_35,Conv,['Relu_36'],2278331,48693889
42,Relu_36,Relu,['Conv_37'],2849535,2849535
43,Conv_37,Conv,['Add_38'],2150748,4864267
44,Add_38,Add,['Relu_39'],-1,5461533
45,Relu_39,Relu,"['Conv_40', 'Conv_45']",4698517,4698517
46,Conv_40,Conv,['Relu_41'],1457951,47911893
47,Conv_45,Conv,['Add_46'],2681156,55259229
48,Relu_41,Relu,['Conv_42'],788083,788083
49,Conv_42,Conv,['Relu_43'],605083,47020641
50,Relu_43,Relu,['Conv_44'],788083,788083
51,Conv_44,Conv,['Add_46'],1095538,3809057
52,Add_46,Add,['Relu_47'],-1,5461533
53,Relu_47,Relu,"['Conv_48', 'Add_53']",3666096,3666096
54,Conv_48,Conv,['Relu_49'],1532710,4246229
55,Relu_49,Relu,['Conv_50'],788083,788083
56,Conv_50,Conv,['Relu_51'],605083,47020641
57,Relu_51,Relu,['Conv_52'],788083,788083
58,Conv_52,Conv,['Add_53'],1095538,3809057
59,Add_53,Add,['Relu_54'],-1,5461533
60,Relu_54,Relu,"['Conv_55', 'Add_60']",3666096,3666096
61,Conv_55,Conv,['Relu_56'],1532710,4246229
62,Relu_56,Relu,['Conv_57'],788083,788083
63,Conv_57,Conv,['Relu_58'],605083,47020641
64,Relu_58,Relu,['Conv_59'],788083,788083
65,Conv_59,Conv,['Add_60'],1095538,3809057
66,Add_60,Add,['Relu_61'],-1,5461533
67,Relu_61,Relu,"['Conv_62', 'Add_67']",3666096,3666096
68,Conv_62,Conv,['Relu_63'],1532710,4246229
69,Relu_63,Relu,['Conv_64'],788083,788083
70,Conv_64,Conv,['Relu_65'],605083,47020641
71,Relu_65,Relu,['Conv_66'],788083,788083
72,Conv_66,Conv,['Add_67'],1095538,3809057
73,Add_67,Add,['Relu_68'],-1,5461533
74,Relu_68,Relu,"['Conv_69', 'Conv_74']",3666096,3666096
75,Conv_69,Conv,['Relu_70'],1375671,47829613
76,Conv_74,Conv,['Add_75'],2681156,55259229
77,Relu_70,Relu,['Conv_71'],308639,308639
78,Conv_71,Conv,['Relu_72'],568359,46983917
79,Relu_72,Relu,['Conv_73'],308639,308639
80,Conv_73,Conv,['Add_75'],1141094,3854613
81,Add_75,Add,['Relu_76'],-1,2226591
82,Relu_76,Relu,"['Conv_77', 'Add_82']",2849535,2849535
83,Conv_77,Conv,['Relu_78'],1450430,4163949
84,Relu_78,Relu,['Conv_79'],308639,308639
85,Conv_79,Conv,['Relu_80'],568359,46983917
86,Relu_80,Relu,['Conv_81'],308639,308639
87,Conv_81,Conv,['Add_82'],1141094,3854613
88,Add_82,Add,['Relu_83'],-1,2226591
89,Relu_83,Relu,"['Conv_84', 'Add_89']",2849535,2849535
90,Conv_84,Conv,['Relu_85'],1450430,4163949
91,Relu_85,Relu,['Conv_86'],308639,308639
92,Conv_86,Conv,['Relu_87'],568359,46983917
93,Relu_87,Relu,['Conv_88'],308639,308639
94,Conv_88,Conv,['Add_89'],1141094,3854613
95,Add_89,Add,['Relu_90'],-1,2226591
96,Relu_90,Relu,"['Conv_91', 'Add_96']",2849535,2849535
97,Conv_91,Conv,['Relu_92'],1450430,4163949
98,Relu_92,Relu,['Conv_93'],308639,308639
99,Conv_93,Conv,['Relu_94'],568359,46983917
100,Relu_94,Relu,['Conv_95'],308639,308639
101,Conv_95,Conv,['Add_96'],1141094,3854613
102,Add_96,Add,['Relu_97'],-1,2226591
103,Relu_97,Relu,"['Conv_98', 'Add_103']",2849535,2849535
104,Conv_98,Conv,['Relu_99'],1450430,4163949
105,Relu_99,Relu,['Conv_100'],308639,308639
106,Conv_100,Conv,['Relu_101'],568359,46983917
107,Relu_101,Relu,['Conv_102'],308639,308639
108,Conv_102,Conv,['Add_103'],1141094,3854613
109,Add_103,Add,['Relu_104'],-1,2226591
110,Relu_104,Relu,"['Conv_105', 'Add_110']",2849535,2849535
111,Conv_105,Conv,['Relu_106'],1450430,4163949
112,Relu_106,Relu,['Conv_107'],308639,308639
113,Conv_107,Conv,['Relu_108'],568359,46983917
114,Relu_108,Relu,['Conv_109'],308639,308639
115,Conv_109,Conv,['Add_110'],1141094,3854613
116,Add_110,Add,['Relu_111'],-1,2226591
117,Relu_111,Relu,"['Conv_112', 'Conv_117']",2849535,2849535
118,Conv_112,Conv,['Relu_113'],1320452,47774394
119,Conv_117,Conv,['Add_118'],2063118,54641191
120,Relu_113,Relu,['Conv_114'],151375,151375
121,Conv_114,Conv,['Relu_115'],467584,46883142
122,Relu_115,Relu,['Conv_116'],151375,151375
123,Conv_116,Conv,['Add_118'],523056,3236575
124,Add_118,Add,['Relu_119'],-1,1511881
125,Relu_119,Relu,"['Conv_120', 'Add_125']",788083,788083
126,Conv_120,Conv,['Relu_121'],493470,3206989
127,Relu_121,Relu,['Conv_122'],151375,151375
128,Conv_122,Conv,['Relu_123'],467584,46883142
129,Relu_123,Relu,['Conv_124'],151375,151375
130,Conv_124,Conv,['Add_125'],523056,3236575
131,Add_125,Add,['Relu_126'],-1,1511881
132,Relu_126,Relu,"['Conv_127', 'Add_132']",788083,788083
133,Conv_127,Conv,['Relu_128'],493470,3206989
134,Relu_128,Relu,['Conv_129'],151375,151375
135,Conv_129,Conv,['Relu_130'],467584,46883142
136,Relu_130,Relu,['Conv_131'],151375,151375
137,Conv_131,Conv,['Add_132'],523056,3236575
138,Add_132,Add,['Relu_133'],-1,1511881
139,Relu_133,Relu,['Reshape_134'],788083,788083
140,Reshape_134,Reshape,"['Reshape_146', 'Reshape_614']",-1,364712
141,Reshape_146,Reshape,['Conv_147'],-1,364712
142,Reshape_614,Reshape,['Conv_615'],-1,364712
143,Conv_147,Conv,['Transpose_678'],409914,2237562
144,Conv_615,Conv,['Relu_616'],229205,776045
145,Transpose_678,Transpose,['Reshape_679'],-1,112839
146,Relu_616,Relu,['Conv_617'],156162,156162
147,Reshape_679,Reshape,['Add_781'],-1,38856
148,Conv_617,Conv,['Transpose_618'],100229,6621955
149,Transpose_618,Transpose,['Reshape_619'],-1,147462
150,Reshape_619,Reshape,['Softmax_620'],-1,146296
151,Softmax_620,Softmax,['Unsqueeze_622'],-1,221023
152,Unsqueeze_622,Unsqueeze,['Mul_623'],-1,143037
153,Mul_623,Mul,['ReduceSum_625'],-1,251306
154,ReduceSum_625,ReduceSum,['Reshape_626'],-1,351732
155,Reshape_626,Reshape,"['Slice_640', 'Slice_660', 'Mul_681']",-1,143690
156,Slice_640,Slice,['Unsqueeze_644'],-1,138981
157,Slice_660,Slice,['Unsqueeze_664'],-1,138981
158,Mul_681,Mul,"['Gather_683', 'Gather_689', 'Gather_695']",-1,139249
159,Unsqueeze_644,Unsqueeze,['Sub_645'],-1,138606
160,Unsqueeze_664,Unsqueeze,['Sub_665'],-1,138606
161,Gather_683,Gather,['Unsqueeze_685'],-1,139055
162,Gather_689,Gather,['Unsqueeze_691'],-1,139055
163,Gather_695,Gather,['Unsqueeze_697'],-1,139055
164,Sub_645,Sub,['Pow_647'],-1,497385
165,Sub_665,Sub,['Pow_667'],-1,497385
166,Unsqueeze_685,Unsqueeze,['Div_687'],-1,138606
167,Unsqueeze_691,Unsqueeze,['Div_693'],-1,138606
168,Unsqueeze_697,Unsqueeze,['Div_699'],-1,138606
169,Pow_647,Pow,['ReduceSum_649'],-1,502716
170,Pow_667,Pow,['ReduceSum_669'],-1,502716
171,Div_687,Div,"['Slice_704', 'Slice_710']",-1,4049666
172,Div_693,Div,"['Slice_729', 'Slice_735']",-1,4049666
173,Div_699,Div,"['Slice_754', 'Slice_760']",-1,4049666
174,ReduceSum_649,ReduceSum,['Pow_650'],-1,511239
175,ReduceSum_669,ReduceSum,['Pow_670'],-1,511239
176,Slice_704,Slice,['Sin_705'],-1,170656
177,Slice_710,Slice,['Cos_711'],-1,170656
178,Slice_729,Slice,['Sin_730'],-1,170656
179,Slice_735,Slice,['Cos_736'],-1,170656
180,Slice_754,Slice,['Sin_755'],-1,170656
181,Slice_760,Slice,['Cos_761'],-1,170656
182,Pow_650,Pow,['Pow_672'],-1,909816
183,Pow_670,Pow,['Pow_674'],-1,909816
184,Sin_705,Sin,['Unsqueeze_713'],-1,175011
185,Cos_711,Cos,['Unsqueeze_715'],-1,173835
186,Sin_730,Sin,['Unsqueeze_738'],-1,175011
187,Cos_736,Cos,['Unsqueeze_740'],-1,173835
188,Sin_755,Sin,['Unsqueeze_763'],-1,175011
189,Cos_761,Cos,['Unsqueeze_765'],-1,173835
190,Pow_672,Pow,['Add_675'],-1,909816
191,Pow_674,Pow,['Add_675'],-1,909816
192,Unsqueeze_713,Unsqueeze,['Concat_716'],-1,143037
193,Unsqueeze_715,Unsqueeze,['Concat_716'],-1,143037
194,Unsqueeze_738,Unsqueeze,['Concat_741'],-1,143037
195,Unsqueeze_740,Unsqueeze,['Concat_741'],-1,143037
196,Unsqueeze_763,Unsqueeze,['Concat_766'],-1,143037
197,Unsqueeze_765,Unsqueeze,['Concat_766'],-1,143037
198,Add_675,Add,['Pow_677'],-1,2009478
199,Concat_716,Concat,['Reshape_724'],71517,71517
200,Concat_741,Concat,['Reshape_749'],71517,71517
201,Concat_766,Concat,['Reshape_774'],71517,71517
202,Pow_677,Pow,"['Mul_783', 'Mul_792', 'Mul_801', 'Mul_810', 'Mul_819', 'Mul_828', 'Mul_837', 'Mul_846']",-1,909816
203,Reshape_724,Reshape,['Concat_775'],-1,86806
204,Reshape_749,Reshape,['Concat_775'],-1,86806
205,Reshape_774,Reshape,['Concat_775'],-1,86806
206,Mul_783,Mul,['Softmax_784'],-1,1900817
207,Mul_792,Mul,['Softmax_793'],-1,1900817
208,Mul_801,Mul,['Softmax_802'],-1,1900817
209,Mul_810,Mul,['Softmax_811'],-1,1900817
210,Mul_819,Mul,['Softmax_820'],-1,1900817
211,Mul_828,Mul,['Softmax_829'],-1,1900817
