,op_id,op_type,suc,MACA,CV_DSP,"['MACA', 'CV_DSP']","['CV_DSP', 'MACA']"
0,node0,Conv,['node1'],43156,615273,[70466],[70466]
1,node1,Relu,['node2'],106189,106189,[70466],[70466]
2,node2,MaxPool,['node3'],19699,1001635,[11856],[11856]
3,node3,LRN,['node4'],100,100,[113806],[113806]
4,node4,Conv,['node5'],7067,554566,[125462],[125462]
5,node5,Relu,['node6'],32077,32077,[95021],[95021]
6,node6,Conv,['node7'],42245,592472,[199808],[199808]
7,node7,Relu,['node8'],85069,85069,[51246],[51246]
8,node8,LRN,['node9'],100,100,[148762],[148762]
9,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",19689,542895,"[10, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]"
10,node10,Conv,['node11'],1731,554566,[136696],[136696]
11,node12,Conv,['node13'],5028,3970544,[137585],[137585]
12,node16,Conv,['node17'],1653,1096523,[136696],[136696]
13,node20,MaxPool,['node21'],2644,161904,[92009],[92009]
14,node11,Relu,['node23'],7935,7935,[116800],[116800]
15,node13,Relu,['node14'],12884,12884,[117689],[117689]
16,node17,Relu,['node18'],5125,5125,[136696],[136696]
17,node21,Conv,['node22'],1744,1551558,[136696],[136696]
18,node14,Conv,['node15'],25733,6532990,[139302],[139302]
19,node18,Conv,['node19'],1442,554566,[136696],[136696]
20,node22,Relu,['node23'],6110,6110,[116800],[116800]
21,node15,Relu,['node23'],17639,17639,[119406],[119406]
22,node19,Relu,['node23'],6110,6110,[116800],[116800]
23,node23,Concat,[],8547,8547,[],[]
