,op_id,op_type,suc,read,write,MACA,CV_DSP
0,node0,Conv,['node1'],80323,70466,43156,615273
2,node1,Relu,['node2'],0,70466,106189,106189
3,node2,MaxPool,['node3'],0,11756,19699,1001635
4,node3,LRN,['node4'],100,100,100,100
5,node4,Conv,['node5'],113706,11756,7067,554566
6,node5,Relu,['node6'],113706,11756,32077,32077
7,node6,Conv,['node7'],83265,51146,42245,592472
8,node7,Relu,['node8'],148662,51146,85069,85069
9,node8,LRN,['node9'],100,100,100,100
10,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",148662,11686,19689,542895
11,node10,Conv,['node11'],80323,3094,1731,554566
12,node12,Conv,['node13'],80323,3983,5028,3970544
13,node16,Conv,['node17'],80323,3094,1653,1096523
14,node20,MaxPool,['node21'],80323,11686,2644,161904
15,node11,Relu,['node23'],133602,3094,7935,7935
16,node13,Relu,['node14'],133602,3983,12884,12884
17,node17,Relu,['node18'],133602,3094,5125,5125
18,node21,Conv,['node22'],80323,3094,1744,1551558
19,node14,Conv,['node15'],113706,5700,25733,6532990
20,node18,Conv,['node19'],133602,3094,1442,554566
21,node22,Relu,['node23'],133602,3094,6110,6110
22,node15,Relu,['node23'],133602,5700,17639,17639
23,node19,Relu,['node23'],133602,3094,6110,6110
24,node23,Concat,"[]",113706,11717,8547,8547
