,op_pair,"['MACA', 'CV_DSP']","['CV_DSP', 'MACA']"
0,"['node0', 'node1']",70466,70466
1,"['node1', 'node2']",70466,70466
2,"['node140', 'node141']",70566,70566
3,"['node2', 'node3']",11856,11856
4,"['node3', 'node4']",113806,113806
5,"['node4', 'node5']",125462,125462
6,"['node5', 'node6']",95021,95021
7,"['node6', 'node7']",199808,199808
8,"['node7', 'node8']",51246,51246
9,"['node8', 'node9']",148762,148762
10,"['node9', 'node10']",92009,92009
11,"['node9', 'node12']",92009,92009
12,"['node9', 'node16']",92009,92009
13,"['node9', 'node20']",92009,92009
14,"['node10', 'node11']",136696,136696
15,"['node12', 'node13']",137585,137585
16,"['node16', 'node17']",136696,136696
17,"['node20', 'node21']",92009,92009
18,"['node11', 'node23']",116800,116800
19,"['node13', 'node14']",117689,117689
20,"['node17', 'node18']",136696,136696
21,"['node21', 'node22']",136696,136696
22,"['node23', 'node24']",125423,125423
23,"['node23', 'node26']",125423,125423
24,"['node23', 'node30']",125423,125423
25,"['node23', 'node34']",125423,125423
26,"['node14', 'node15']",139302,139302
27,"['node18', 'node19']",136696,136696
28,"['node22', 'node23']",116800,116800
29,"['node15', 'node23']",119406,119406
30,"['node19', 'node23']",116800,116800
31,"['node24', 'node25']",139302,139302
32,"['node26', 'node27']",139302,139302
33,"['node30', 'node31']",136696,136696
34,"['node34', 'node35']",125423,125423
35,"['node25', 'node37']",88965,88965
36,"['node27', 'node28']",88965,88965
37,"['node31', 'node32']",136696,136696
38,"['node35', 'node36']",136696,136696
39,"['node37', 'node38']",66124,66124
40,"['node28', 'node29']",92009,92009
41,"['node32', 'node33']",137585,137585
42,"['node36', 'node37']",86359,86359
43,"['node29', 'node37']",94951,94951
44,"['node33', 'node37']",87248,87248
45,"['node38', 'node39']",85965,85965
46,"['node38', 'node41']",139244,139244
47,"['node38', 'node45']",139244,139244
48,"['node38', 'node49']",139244,139244
49,"['node39', 'node40']",136696,136696
50,"['node41', 'node42']",136696,136696
51,"['node45', 'node46']",136696,136696
52,"['node49', 'node50']",139244,139244
53,"['node40', 'node52']",136696,136696
54,"['node42', 'node43']",116800,116800
55,"['node46', 'node47']",136696,136696
56,"['node50', 'node51']",136696,136696
57,"['node52', 'node53']",85965,85965
