,op_id,op_type,suc,read,write,MACA,CV_DSP
0,node0,Conv,['node1'],80323,70466,43156,615273
1,node140,Reshape,['node141'],152821,70466,-1,9691
2,node1,Relu,['node2'],0,70466,106189,106189
3,node2,MaxPool,['node3'],0,11756,19699,1001635
4,node3,LRN,['node4'],100,100,100,100
5,node4,Conv,['node5'],113706,11756,7067,554566
6,node5,Relu,['node6'],113706,11756,32077,32077
7,node6,Conv,['node7'],83265,51146,42245,592472
8,node7,Relu,['node8'],148662,51146,85069,85069
9,node8,LRN,['node9'],100,100,100,100
10,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",148662,11686,19689,542895
11,node10,Conv,['node11'],80323,3094,1731,554566
12,node12,Conv,['node13'],80323,3983,5028,3970544
13,node16,Conv,['node17'],80323,3094,1653,1096523
14,node20,MaxPool,['node21'],80323,11686,2644,161904
15,node11,Relu,['node23'],133602,3094,7935,7935
16,node13,Relu,['node14'],133602,3983,12884,12884
17,node17,Relu,['node18'],133602,3094,5125,5125
18,node21,Conv,['node22'],80323,3094,1744,1551558
19,node14,Conv,['node15'],113706,5700,25733,6532990
20,node18,Conv,['node19'],133602,3094,1442,554566
21,node22,Relu,['node23'],133602,3094,6110,6110
22,node15,Relu,['node23'],133602,5700,17639,17639
23,node19,Relu,['node23'],133602,3094,6110,6110
24,node23,Concat,"['node24', 'node26', 'node30', 'node34']",113706,11717,8547,8547
25,node24,Conv,['node25'],113706,5700,2587,1247502
26,node26,Conv,['node27'],113706,5700,2587,1247502
27,node30,Conv,['node31'],113706,3094,1406,1075038
28,node34,MaxPool,['node35'],113706,11717,1605,345731
29,node25,Relu,['node37'],133602,5700,17639,17639
30,node27,Relu,['node28'],133602,5700,17639,17639
31,node31,Relu,['node32'],133602,3094,6110,6110
32,node35,Conv,['node36'],113706,3094,1707,554566
33,node28,Conv,['node29'],83265,11686,15491,2171277
34,node32,Conv,['node33'],133602,3983,11234,387238
35,node36,Relu,['node37'],133602,3094,7935,7935
36,node29,Relu,['node37'],80323,11686,23335,23335
37,node33,Relu,['node37'],133602,3983,12884,12884
38,node37,Concat,['node38'],83265,15127,15072,15072
39,node38,MaxPool,"['node39', 'node41', 'node45', 'node49']",50997,5642,10179,481805
40,node39,Conv,['node40'],80323,3094,4854,4432875
41,node41,Conv,['node42'],133602,3094,2627,410095
42,node45,Conv,['node46'],133602,3094,7819,818059
43,node49,MaxPool,['node50'],133602,5642,3373,141552
44,node40,Relu,['node52'],133602,3094,6618,6618
45,node42,Relu,['node43'],133602,3094,5393,5393
46,node46,Relu,['node47'],133602,3094,4357,4357
47,node50,Conv,['node51'],133602,3094,1611,1551558
48,node43,Conv,['node44'],113706,3094,7214,821606
49,node47,Conv,['node48'],133602,3094,2364,1551558
50,node51,Relu,['node52'],133602,3094,4920,4920
51,node44,Relu,['node52'],133602,3094,7129,7129
52,node48,Relu,['node52'],133602,3094,4786,4786
53,node52,Concat,"['node53', 'node55', 'node59', 'node63']",133602,5642,6287,6287
54,node53,Conv,['node54'],80323,3094,28347,3970544
55,node55,Conv,['node56'],80323,3094,3396,554566
56,node59,Conv,['node60'],133602,3094,10108,818059
57,node63,MaxPool,['node64'],133602,5642,3373,144063
58,node54,Relu,['node66'],133602,3094,6066,6066
59,node56,Relu,['node57'],133602,3094,5741,5741
60,node60,Relu,['node61'],133602,3094,4440,4440
61,node64,Conv,['node65'],133602,3094,2966,1551558
62,node57,Conv,['node58'],113706,3094,3826,821606
63,node61,Conv,['node62'],133602,3094,4618,410095
64,node65,Relu,['node66'],133602,3094,4920,4920
65,node58,Relu,['node66'],133602,3094,6996,6996
66,node62,Relu,['node66'],133602,3094,4920,4920
67,node66,Concat,"['node67', 'node69', 'node73', 'node77']",133602,5642,6287,6287
68,node67,Conv,['node68'],80323,3094,2515,554566
69,node69,Conv,['node70'],80323,3094,2515,554566
70,node73,Conv,['node74'],133602,3094,10108,818059
71,node77,MaxPool,['node78'],133602,5642,3373,144063
72,node68,Relu,['node80'],133602,3094,5862,5862
73,node70,Relu,['node71'],133602,3094,5862,5862
74,node74,Relu,['node75'],133602,3094,4440,4440
75,node78,Conv,['node79'],133602,3094,2966,1551558
