,op_id,op_type,suc,maca,cv_dsp,"['maca', 'maca']","['maca', 'cv_dsp']","['cv_dsp', 'maca']","['cv_dsp', 'cv_dsp']"
0,node0,Conv,['node1'],43156,615273,[70466],[70466],[70466],[70466]
1,node140,Reshape,['node141'],-1,9691,[70566],[70566],[70566],[70566]
2,node1,Relu,['node2'],106189,106189,[70466],[70466],[70466],[70466]
3,node2,MaxPool,['node3'],19699,1001635,[11856],[11856],[11856],[11856]
4,node3,LRN,['node4'],100,100,[113806],[113806],[113806],[113806]
5,node4,Conv,['node5'],7067,554566,[125462],[125462],[125462],[125462]
6,node5,Relu,['node6'],32077,32077,[95021],[95021],[95021],[95021]
7,node6,Conv,['node7'],42245,592472,[199808],[199808],[199808],[199808]
8,node7,Relu,['node8'],85069,85069,[51246],[51246],[51246],[51246]
9,node8,LRN,['node9'],100,100,[148762],[148762],[148762],[148762]
10,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",19689,542895,"[92009, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]"
11,node10,Conv,['node11'],1731,554566,[136696],[136696],[136696],[136696]
12,node12,Conv,['node13'],5028,3970544,[137585],[137585],[137585],[137585]
13,node16,Conv,['node17'],1653,1096523,[136696],[136696],[136696],[136696]
14,node20,MaxPool,['node21'],2644,161904,[92009],[92009],[92009],[92009]
15,node11,Relu,['node23'],7935,7935,[116800],[116800],[116800],[116800]
16,node13,Relu,['node14'],12884,12884,[117689],[117689],[117689],[117689]
17,node17,Relu,['node18'],5125,5125,[136696],[136696],[136696],[136696]
18,node21,Conv,['node22'],1744,1551558,[136696],[136696],[136696],[136696]
19,node14,Conv,['node15'],25733,6532990,[139302],[139302],[139302],[139302]
20,node18,Conv,['node19'],1442,554566,[136696],[136696],[136696],[136696]
21,node22,Relu,['node23'],6110,6110,[116800],[116800],[116800],[116800]
22,node15,Relu,['node23'],17639,17639,[119406],[119406],[119406],[119406]
23,node19,Relu,['node23'],6110,6110,[116800],[116800],[116800],[116800]
24,node23,Concat,"['node24', 'node26', 'node30', 'node34']",8547,8547,"[125423, 125423, 125423, 125423]","[125423, 125423, 125423, 125423]","[125423, 125423, 125423, 125423]","[125423, 125423, 125423, 125423]"
25,node24,Conv,['node25'],2587,1247502,[139302],[139302],[139302],[139302]
26,node26,Conv,['node27'],2587,1247502,[139302],[139302],[139302],[139302]
27,node30,Conv,['node31'],1406,1075038,[136696],[136696],[136696],[136696]
28,node34,MaxPool,['node35'],1605,345731,[125423],[125423],[125423],[125423]
29,node25,Relu,['node37'],17639,17639,[88965],[88965],[88965],[88965]
30,node27,Relu,['node28'],17639,17639,[88965],[88965],[88965],[88965]
31,node31,Relu,['node32'],6110,6110,[136696],[136696],[136696],[136696]
32,node35,Conv,['node36'],1707,554566,[136696],[136696],[136696],[136696]
33,node28,Conv,['node29'],15491,2171277,[92009],[92009],[92009],[92009]
34,node32,Conv,['node33'],11234,387238,[137585],[137585],[137585],[137585]
35,node36,Relu,['node37'],7935,7935,[86359],[86359],[86359],[86359]
36,node29,Relu,['node37'],23335,23335,[94951],[94951],[94951],[94951]
37,node33,Relu,['node37'],12884,12884,[87248],[87248],[87248],[87248]
38,node37,Concat,['node38'],15072,15072,[66124],[66124],[66124],[66124]
39,node38,MaxPool,"['node39', 'node41', 'node45', 'node49']",10179,481805,"[85965, 139244, 139244, 139244]","[85965, 139244, 139244, 139244]","[85965, 139244, 139244, 139244]","[85965, 139244, 139244, 139244]"
40,node39,Conv,['node40'],4854,4432875,[136696],[136696],[136696],[136696]
41,node41,Conv,['node42'],2627,410095,[136696],[136696],[136696],[136696]
42,node45,Conv,['node46'],7819,818059,[136696],[136696],[136696],[136696]
43,node49,MaxPool,['node50'],3373,141552,[139244],[139244],[139244],[139244]
44,node40,Relu,['node52'],6618,6618,[136696],[136696],[136696],[136696]
45,node42,Relu,['node43'],5393,5393,[116800],[116800],[116800],[116800]
46,node46,Relu,['node47'],4357,4357,[136696],[136696],[136696],[136696]
47,node50,Conv,['node51'],1611,1551558,[136696],[136696],[136696],[136696]
