,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
0,0,Unsqueeze_12,Unsqueeze,['Concat_13'],1552313,801242,-1,3793,[2353555],[2353555],[2353555],[2353555]
1,1,Reshape_231,Reshape,['Tile_234'],133602,3094,-1,6994,[136696],[136696],[136696],[136696]
2,2,Concat_13,Concat,['Squeeze_14'],1552313,801242,181665,181665,[801342],[801342],[801342],[801342]
3,3,Tile_234,Tile,['MatMul_235'],133602,3094,-1,6994,[136696],[136696],[136696],[136696]
4,4,Squeeze_14,Squeeze,['Conv_15'],100,100,100,100,[1552413],[1552413],[1552413],[1552413]
5,5,MatMul_235,MatMul,['Squeeze_add_by_lhy'],133602,3094,-1,30113,[3194],[3194],[3194],[3194]
6,6,Conv_15,Conv,['Relu_16'],1552313,801242,357261,53230960,[2028269],[2028269],[2028269],[2028269]
7,7,Squeeze_add_by_lhy,Squeeze,['Slice_249'],100,100,100,100,[133702],[133702],[133702],[133702]
8,8,Relu_16,Relu,['MaxPool_17'],1227027,801242,2670248,2670248,[2028269],[2028269],[2028269],[2028269]
9,9,Slice_249,Slice,"['Slice_254', 'ScatterND_328']",133602,3094,-1,2617,"[136696, 83417]","[136696, 83417]","[136696, 83417]","[136696, 83417]"
10,10,MaxPool_17,MaxPool,"['Conv_18', 'Conv_23']",1227027,801242,206415,22840232,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
11,11,Slice_254,Slice,['Sub_256'],133602,3094,-1,2617,[136696],[136696],[136696],[136696]
12,12,Conv_18,Conv,['Relu_19'],1227027,801242,45632,592472,[2028269],[2028269],[2028269],[2028269]
13,13,Conv_23,Conv,['Add_24'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
14,14,Sub_256,Sub,['Div_258'],133602,3094,-1,10442,[136696],[136696],[136696],[136696]
15,15,Relu_19,Relu,['Conv_20'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
16,16,Div_258,Div,['ScatterND_328'],133602,3094,-1,204177,[83417],[83417],[83417],[83417]
17,17,Conv_20,Conv,['Relu_21'],1227027,801242,250062,46665620,[2028269],[2028269],[2028269],[2028269]
18,18,ScatterND_328,ScatterND,"['Slice_333', 'ScatterND_470']",80323,3094,-1,24204,"[136696, 83417]","[136696, 83417]","[136696, 83417]","[136696, 83417]"
19,19,Relu_21,Relu,['Conv_22'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
20,20,Slice_333,Slice,['Sub_335'],133602,3094,-1,2617,[136696],[136696],[136696],[136696]
21,21,Conv_22,Conv,['Add_24'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
22,22,Sub_335,Sub,['Div_337'],133602,3094,-1,10442,[136696],[136696],[136696],[136696]
23,23,Add_24,Add,['Relu_25'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
24,24,Div_337,Div,['ScatterND_470'],133602,3094,-1,204177,[83417],[83417],[83417],[83417]
25,25,Relu_25,Relu,"['Conv_26', 'Add_31']",1227027,801242,2670248,2670248,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
26,26,ScatterND_470,ScatterND,"['Slice_475', 'ScatterND_612']",80323,3094,-1,24204,"[136696, 83417]","[136696, 83417]","[136696, 83417]","[136696, 83417]"
27,27,Conv_26,Conv,['Relu_27'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
28,28,Slice_475,Slice,['Sub_477'],133602,3094,-1,2617,[136696],[136696],[136696],[136696]
29,29,Relu_27,Relu,['Conv_28'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
30,30,Sub_477,Sub,['Div_479'],133602,3094,-1,10442,[136696],[136696],[136696],[136696]
31,31,Conv_28,Conv,['Relu_29'],1227027,801242,250062,46665620,[2028269],[2028269],[2028269],[2028269]
32,32,Div_479,Div,['ScatterND_612'],133602,3094,-1,204177,[83417],[83417],[83417],[83417]
33,33,Relu_29,Relu,['Conv_30'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
34,34,ScatterND_612,ScatterND,['Reshape_613'],80323,3094,-1,24204,[136696],[136696],[136696],[136696]
35,35,Conv_30,Conv,['Add_31'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
36,36,Reshape_613,Reshape,['Mul_623'],133602,23038,-1,6994,[171700],[171700],[171700],[171700]
37,37,Add_31,Add,['Relu_32'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
38,38,Relu_32,Relu,"['Conv_33', 'Add_38']",1227027,801242,2670248,2670248,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
39,39,Conv_33,Conv,['Relu_34'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
40,40,Relu_34,Relu,['Conv_35'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
41,41,Conv_35,Conv,['Relu_36'],1227027,801242,250062,46665620,[2028269],[2028269],[2028269],[2028269]
42,42,Relu_36,Relu,['Conv_37'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
43,43,Conv_37,Conv,['Add_38'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
44,44,Add_38,Add,['Relu_39'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
