,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
0,0,Unsqueeze_0,Unsqueeze,['Squeeze_3'],1552313,801242,-1,3793,[801342],[801342],[801342],[801342]
1,1,Clip_1654,Clip,['Cast_1655'],133602,3094,93,-1,[136696],[136696],[136696],[136696]
2,2,Squeeze_3,Squeeze,['Conv_4'],100,100,100,100,[1552413],[1552413],[1552413],[1552413]
3,3,Cast_1655,Cast,['Unsqueeze_1656'],133602,3094,-1,4736,[136696],[136696],[136696],[136696]
4,4,Conv_4,Conv,['Relu_5'],1552313,801242,357261,53230960,[2028269],[2028269],[2028269],[2028269]
5,5,Unsqueeze_1656,Unsqueeze,['Cast_1657'],133602,3094,-1,1910,[136696],[136696],[136696],[136696]
6,6,Relu_5,Relu,['MaxPool_6'],1227027,801242,2670248,2670248,[2028269],[2028269],[2028269],[2028269]
7,7,Cast_1657,Cast,['Div_1658'],133602,3094,-1,4736,[3094],[3094],[3094],[3094]
8,8,MaxPool_6,MaxPool,"['Conv_7', 'Conv_12']",1227027,801242,206415,22840232,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
9,9,Conv_7,Conv,['Relu_8'],1227027,801242,45632,592472,[2028269],[2028269],[2028269],[2028269]
10,10,Conv_12,Conv,['Add_13'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
11,11,Relu_8,Relu,['Conv_9'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
12,12,Conv_9,Conv,['Relu_10'],1227027,801242,250062,46665620,[2028269],[2028269],[2028269],[2028269]
13,13,Relu_10,Relu,['Conv_11'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
14,14,Conv_11,Conv,['Add_13'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
15,15,Add_13,Add,['Relu_14'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
16,16,Relu_14,Relu,"['Conv_15', 'Add_20']",1227027,801242,2670248,2670248,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
17,17,Conv_15,Conv,['Relu_16'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
18,18,Relu_16,Relu,['Conv_17'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
19,19,Conv_17,Conv,['Relu_18'],1227027,801242,250062,46665620,[2028269],[2028269],[2028269],[2028269]
20,20,Relu_18,Relu,['Conv_19'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
21,21,Conv_19,Conv,['Add_20'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
22,22,Add_20,Add,['Relu_21'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
23,23,Relu_21,Relu,"['Conv_22', 'Add_27']",1227027,801242,2670248,2670248,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
24,24,Conv_22,Conv,['Relu_23'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
25,25,Relu_23,Relu,['Conv_24'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
26,26,Conv_24,Conv,['Relu_25'],1227027,801242,250062,46665620,[2028269],[2028269],[2028269],[2028269]
27,27,Relu_25,Relu,['Conv_26'],1227027,801242,821266,821266,[2028269],[2028269],[2028269],[2028269]
28,28,Conv_26,Conv,['Add_27'],1227027,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
29,29,Add_27,Add,['Relu_28'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
30,30,Relu_28,Relu,"['Conv_29', 'Conv_34']",1227027,801242,2670248,2670248,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
31,31,Conv_29,Conv,['Relu_30'],1227027,183204,47720,46501662,[355021],[355021],[355021],[355021]
32,32,Conv_34,Conv,['Add_35'],1227027,801242,652887,53230960,[2028269],[2028269],[2028269],[2028269]
33,33,Relu_30,Relu,['Conv_31'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
34,34,Conv_31,Conv,['Relu_32'],171817,183204,250062,46665620,[355021],[355021],[355021],[355021]
35,35,Relu_32,Relu,['Conv_33'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
36,36,Conv_33,Conv,['Add_35'],171817,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
37,37,Add_35,Add,['Relu_36'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
38,38,Relu_36,Relu,"['Conv_37', 'Add_42']",1227027,801242,1637827,1637827,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
39,39,Conv_37,Conv,['Relu_38'],1227027,183204,122479,2835998,[355021],[355021],[355021],[355021]
40,40,Relu_38,Relu,['Conv_39'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
41,41,Conv_39,Conv,['Relu_40'],171817,183204,250062,46665620,[355021],[355021],[355021],[355021]
42,42,Relu_40,Relu,['Conv_41'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
43,43,Conv_41,Conv,['Add_42'],171817,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
44,44,Add_42,Add,['Relu_43'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
45,45,Relu_43,Relu,"['Conv_44', 'Add_49']",1227027,801242,1637827,1637827,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
46,46,Conv_44,Conv,['Relu_45'],1227027,183204,122479,2835998,[355021],[355021],[355021],[355021]
47,47,Relu_45,Relu,['Conv_46'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
48,48,Conv_46,Conv,['Relu_47'],171817,183204,250062,46665620,[355021],[355021],[355021],[355021]
49,49,Relu_47,Relu,['Conv_48'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
50,50,Conv_48,Conv,['Add_49'],171817,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
51,51,Add_49,Add,['Relu_50'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
52,52,Relu_50,Relu,"['Conv_51', 'Add_56']",1227027,801242,1637827,1637827,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
53,53,Conv_51,Conv,['Relu_52'],1227027,183204,122479,2835998,[355021],[355021],[355021],[355021]
54,54,Relu_52,Relu,['Conv_53'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
55,55,Conv_53,Conv,['Relu_54'],171817,183204,250062,46665620,[355021],[355021],[355021],[355021]
56,56,Relu_54,Relu,['Conv_55'],171817,183204,433062,433062,[355021],[355021],[355021],[355021]
57,57,Conv_55,Conv,['Add_56'],171817,801242,122479,2835998,[2028269],[2028269],[2028269],[2028269]
58,58,Add_56,Add,['Relu_57'],1227027,801242,-1,3433264,[2028269],[2028269],[2028269],[2028269]
59,59,Relu_57,Relu,"['Conv_58', 'Conv_63']",1227027,801242,1637827,1637827,"[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]","[2028269, 2028269]"
60,60,Conv_58,Conv,['Relu_59'],1227027,100924,47720,46501662,[100924],[100924],[100924],[100924]
61,61,Conv_63,Conv,['Add_64'],1227027,801242,652887,53230960,[2028269],[2028269],[2028269],[2028269]
62,62,Relu_59,Relu,['Conv_60'],0,100924,207715,207715,[318297],[318297],[318297],[318297]
63,63,Conv_60,Conv,['Relu_61'],217373,100924,250062,46665620,[100924],[100924],[100924],[100924]
