,op_id,op_type,suc,read,write,maca,cv_dsp
0,Unsqueeze_12,Unsqueeze,['Concat_13'],1552313,801242,-1,3793
1,Reshape_231,Reshape,['Tile_234'],133602,3094,-1,6994
2,Concat_13,Concat,['Squeeze_14'],1552313,801242,181665,181665
3,Tile_234,Tile,['MatMul_235'],133602,3094,-1,6994
4,Squeeze_14,Squeeze,['Conv_15'],100,100,100,100
5,MatMul_235,MatMul,['Squeeze_add_by_lhy'],133602,3094,-1,30113
6,Conv_15,Conv,['Relu_16'],1552313,801242,357261,53230960
7,Squeeze_add_by_lhy,Squeeze,['Slice_249'],100,100,100,100
8,Relu_16,Relu,['MaxPool_17'],1227027,801242,2670248,2670248
9,Slice_249,Slice,"['Slice_254', 'ScatterND_328']",133602,3094,-1,2617
10,MaxPool_17,MaxPool,"['Conv_18', 'Conv_23']",1227027,801242,206415,22840232
11,Slice_254,Slice,['Sub_256'],133602,3094,-1,2617
12,Conv_18,Conv,['Relu_19'],1227027,801242,45632,592472
13,Conv_23,Conv,['Add_24'],1227027,801242,122479,2835998
14,Sub_256,Sub,['Div_258'],133602,3094,-1,10442
15,Relu_19,Relu,['Conv_20'],1227027,801242,821266,821266
16,Div_258,Div,['ScatterND_328'],133602,3094,-1,204177
17,Conv_20,Conv,['Relu_21'],1227027,801242,250062,46665620
18,ScatterND_328,ScatterND,"['Slice_333', 'ScatterND_470']",80323,3094,-1,24204
19,Relu_21,Relu,['Conv_22'],1227027,801242,821266,821266
20,Slice_333,Slice,['Sub_335'],133602,3094,-1,2617
21,Conv_22,Conv,['Add_24'],1227027,801242,122479,2835998
22,Sub_335,Sub,['Div_337'],133602,3094,-1,10442
23,Add_24,Add,['Relu_25'],1227027,801242,-1,3433264
24,Div_337,Div,['ScatterND_470'],133602,3094,-1,204177
25,Relu_25,Relu,"['Conv_26', 'Add_31']",1227027,801242,2670248,2670248
26,ScatterND_470,ScatterND,"['Slice_475', 'ScatterND_612']",80323,3094,-1,24204
27,Conv_26,Conv,['Relu_27'],1227027,801242,122479,2835998
28,Slice_475,Slice,['Sub_477'],133602,3094,-1,2617
29,Relu_27,Relu,['Conv_28'],1227027,801242,821266,821266
30,Sub_477,Sub,['Div_479'],133602,3094,-1,10442
31,Conv_28,Conv,['Relu_29'],1227027,801242,250062,46665620
32,Div_479,Div,['ScatterND_612'],133602,3094,-1,204177
33,Relu_29,Relu,['Conv_30'],1227027,801242,821266,821266
34,ScatterND_612,ScatterND,['Reshape_613'],80323,3094,-1,24204
35,Conv_30,Conv,['Add_31'],1227027,801242,122479,2835998
36,Reshape_613,Reshape,['Mul_623'],133602,23038,-1,6994
37,Add_31,Add,['Relu_32'],1227027,801242,-1,3433264
38,Relu_32,Relu,"['Conv_33', 'Add_38']",1227027,801242,2670248,2670248
39,Conv_33,Conv,['Relu_34'],1227027,801242,122479,2835998
40,Relu_34,Relu,['Conv_35'],1227027,801242,821266,821266
41,Conv_35,Conv,['Relu_36'],1227027,801242,250062,46665620
42,Relu_36,Relu,['Conv_37'],1227027,801242,821266,821266
43,Conv_37,Conv,['Add_38'],1227027,801242,122479,2835998
44,Add_38,Add,['Relu_39'],1227027,801242,-1,3433264
45,Relu_39,Relu,"['Conv_40', 'Conv_45']",1227027,801242,2670248,2670248
46,Conv_40,Conv,['Relu_41'],1227027,183204,47720,46501662
47,Conv_45,Conv,['Add_46'],1227027,801242,652887,53230960
48,Relu_41,Relu,['Conv_42'],171817,183204,433062,433062
49,Conv_42,Conv,['Relu_43'],171817,183204,250062,46665620
50,Relu_43,Relu,['Conv_44'],171817,183204,433062,433062
51,Conv_44,Conv,['Add_46'],171817,801242,122479,2835998
52,Add_46,Add,['Relu_47'],1227027,801242,-1,3433264
53,Relu_47,Relu,"['Conv_48', 'Add_53']",1227027,801242,1637827,1637827
54,Conv_48,Conv,['Relu_49'],1227027,183204,122479,2835998
55,Relu_49,Relu,['Conv_50'],171817,183204,433062,433062
56,Conv_50,Conv,['Relu_51'],171817,183204,250062,46665620
57,Relu_51,Relu,['Conv_52'],171817,183204,433062,433062
58,Conv_52,Conv,['Add_53'],171817,801242,122479,2835998
59,Add_53,Add,['Relu_54'],1227027,801242,-1,3433264
60,Relu_54,Relu,"['Conv_55', 'Add_60']",1227027,801242,1637827,1637827
61,Conv_55,Conv,['Relu_56'],1227027,183204,122479,2835998
62,Relu_56,Relu,['Conv_57'],171817,183204,433062,433062
63,Conv_57,Conv,['Relu_58'],171817,183204,250062,46665620
64,Relu_58,Relu,['Conv_59'],171817,183204,433062,433062
65,Conv_59,Conv,['Add_60'],171817,801242,122479,2835998
66,Add_60,Add,['Relu_61'],1227027,801242,-1,3433264
67,Relu_61,Relu,"['Conv_62', 'Add_67']",1227027,801242,1637827,1637827
68,Conv_62,Conv,['Relu_63'],1227027,183204,122479,2835998
69,Relu_63,Relu,['Conv_64'],171817,183204,433062,433062
70,Conv_64,Conv,['Relu_65'],171817,183204,250062,46665620
71,Relu_65,Relu,['Conv_66'],171817,183204,433062,433062
72,Conv_66,Conv,['Add_67'],171817,801242,122479,2835998
73,Add_67,Add,['Relu_68'],1227027,801242,-1,3433264
74,Relu_68,Relu,"['Conv_69', 'Conv_74']",1227027,801242,1637827,1637827
75,Conv_69,Conv,['Relu_70'],1227027,100924,47720,46501662
76,Conv_74,Conv,['Add_75'],1227027,801242,652887,53230960
77,Relu_70,Relu,['Conv_71'],0,100924,207715,207715
78,Conv_71,Conv,['Relu_72'],217373,100924,250062,46665620
79,Relu_72,Relu,['Conv_73'],0,100924,207715,207715
80,Conv_73,Conv,['Add_75'],217373,801242,122479,2835998
81,Add_75,Add,['Relu_76'],1227027,801242,-1,198322
82,Relu_76,Relu,"['Conv_77', 'Add_82']",1227027,801242,821266,821266
83,Conv_77,Conv,['Relu_78'],1227027,100924,122479,2835998
84,Relu_78,Relu,['Conv_79'],0,100924,207715,207715
85,Conv_79,Conv,['Relu_80'],217373,100924,250062,46665620
86,Relu_80,Relu,['Conv_81'],0,100924,207715,207715
87,Conv_81,Conv,['Add_82'],217373,801242,122479,2835998
88,Add_82,Add,['Relu_83'],1227027,801242,-1,198322
89,Relu_83,Relu,"['Conv_84', 'Add_89']",1227027,801242,821266,821266
90,Conv_84,Conv,['Relu_85'],1227027,100924,122479,2835998
91,Relu_85,Relu,['Conv_86'],0,100924,207715,207715
92,Conv_86,Conv,['Relu_87'],217373,100924,250062,46665620
93,Relu_87,Relu,['Conv_88'],0,100924,207715,207715
94,Conv_88,Conv,['Add_89'],217373,801242,122479,2835998
95,Add_89,Add,['Relu_90'],1227027,801242,-1,198322
96,Relu_90,Relu,"['Conv_91', 'Add_96']",1227027,801242,821266,821266
97,Conv_91,Conv,['Relu_92'],1227027,100924,122479,2835998
98,Relu_92,Relu,['Conv_93'],0,100924,207715,207715
99,Conv_93,Conv,['Relu_94'],217373,100924,250062,46665620
100,Relu_94,Relu,['Conv_95'],0,100924,207715,207715
101,Conv_95,Conv,['Add_96'],217373,801242,122479,2835998
102,Add_96,Add,['Relu_97'],1227027,801242,-1,198322
103,Relu_97,Relu,"['Conv_98', 'Add_103']",1227027,801242,821266,821266
104,Conv_98,Conv,['Relu_99'],1227027,100924,122479,2835998
105,Relu_99,Relu,['Conv_100'],0,100924,207715,207715
106,Conv_100,Conv,['Relu_101'],217373,100924,250062,46665620
107,Relu_101,Relu,['Conv_102'],0,100924,207715,207715
108,Conv_102,Conv,['Add_103'],217373,801242,122479,2835998
109,Add_103,Add,['Relu_104'],1227027,801242,-1,198322
110,Relu_104,Relu,"['Conv_105', 'Add_110']",1227027,801242,821266,821266
111,Conv_105,Conv,['Relu_106'],1227027,100924,122479,2835998
112,Relu_106,Relu,['Conv_107'],0,100924,207715,207715
113,Conv_107,Conv,['Relu_108'],217373,100924,250062,46665620
114,Relu_108,Relu,['Conv_109'],0,100924,207715,207715
115,Conv_109,Conv,['Add_110'],217373,801242,122479,2835998
116,Add_110,Add,['Relu_111'],1227027,801242,-1,198322
117,Relu_111,Relu,"['Conv_112', 'Conv_117']",1227027,801242,821266,821266
118,Conv_112,Conv,['Relu_113'],1227027,45705,47720,46501662
119,Conv_117,Conv,['Add_118'],1227027,183204,652887,53230960
120,Relu_113,Relu,['Conv_114'],0,45705,105670,105670
121,Conv_114,Conv,['Relu_115'],171817,45705,250062,46665620
122,Relu_115,Relu,['Conv_116'],0,45705,105670,105670
123,Conv_116,Conv,['Add_118'],217373,183204,122479,2835998
124,Add_118,Add,['Relu_119'],1227027,183204,-1,101650
125,Relu_119,Relu,"['Conv_120', 'Add_125']",171817,183204,433062,433062
126,Conv_120,Conv,['Relu_121'],325286,45705,122479,2835998
127,Relu_121,Relu,['Conv_122'],0,45705,105670,105670
128,Conv_122,Conv,['Relu_123'],171817,45705,250062,46665620
129,Relu_123,Relu,['Conv_124'],0,45705,105670,105670
130,Conv_124,Conv,['Add_125'],217373,183204,122479,2835998
131,Add_125,Add,['Relu_126'],1227027,183204,-1,101650
132,Relu_126,Relu,"['Conv_127', 'Add_132']",171817,183204,433062,433062
133,Conv_127,Conv,['Relu_128'],325286,45705,122479,2835998
134,Relu_128,Relu,['Conv_129'],0,45705,105670,105670
135,Conv_129,Conv,['Relu_130'],171817,45705,250062,46665620
136,Relu_130,Relu,['Conv_131'],0,45705,105670,105670
137,Conv_131,Conv,['Add_132'],217373,183204,122479,2835998
138,Add_132,Add,['Relu_133'],1227027,183204,-1,101650
139,Relu_133,Relu,['Reshape_134'],171817,183204,433062,433062
140,Reshape_134,Reshape,"['Reshape_146', 'Reshape_614']",171817,183204,-1,9691
141,Reshape_146,Reshape,['Conv_147'],171817,183204,-1,9691
142,Reshape_614,Reshape,['Conv_615'],171817,183204,-1,9691
143,Conv_147,Conv,['Transpose_678'],325286,29165,55463,1883111
144,Conv_615,Conv,['Relu_616'],171817,11756,45632,592472
145,Transpose_678,Transpose,['Reshape_679'],0,29165,-1,83674
146,Relu_616,Relu,['Conv_617'],113706,11756,30700,30700
147,Reshape_679,Reshape,['Add_781'],0,29165,-1,9691
148,Conv_617,Conv,['Transpose_618'],83265,5700,11264,6532990
149,Transpose_618,Transpose,['Reshape_619'],133602,5700,-1,8160
150,Reshape_619,Reshape,['Softmax_620'],133602,5700,-1,6994
151,Softmax_620,Softmax,['Unsqueeze_622'],133602,5700,-1,81721
152,Unsqueeze_622,Unsqueeze,['Mul_623'],133602,5642,-1,3793
153,Mul_623,Mul,['ReduceSum_625'],148662,23038,-1,79606
154,ReduceSum_625,ReduceSum,['Reshape_626'],50997,3094,-1,297641
155,Reshape_626,Reshape,"['Slice_640', 'Slice_660', 'Mul_681']",133602,3094,-1,6994
156,Slice_640,Slice,['Unsqueeze_644'],133602,3094,-1,2285
157,Slice_660,Slice,['Unsqueeze_664'],133602,3094,-1,2285
158,Mul_681,Mul,"['Gather_683', 'Gather_689', 'Gather_695']",133602,3094,-1,2553
159,Unsqueeze_644,Unsqueeze,['Sub_645'],133602,3094,-1,1910
160,Unsqueeze_664,Unsqueeze,['Sub_665'],133602,3094,-1,1910
161,Gather_683,Gather,['Unsqueeze_685'],133602,3094,-1,2359
162,Gather_689,Gather,['Unsqueeze_691'],133602,3094,-1,2359
163,Gather_695,Gather,['Unsqueeze_697'],133602,3094,-1,2359
164,Sub_645,Sub,['Pow_647'],171817,100924,-1,224644
165,Sub_665,Sub,['Pow_667'],171817,100924,-1,224644
166,Unsqueeze_685,Unsqueeze,['Div_687'],133602,3094,-1,1910
167,Unsqueeze_691,Unsqueeze,['Div_693'],133602,3094,-1,1910
168,Unsqueeze_697,Unsqueeze,['Div_699'],133602,3094,-1,1910
169,Pow_647,Pow,['ReduceSum_649'],0,100924,-1,401792
170,Pow_667,Pow,['ReduceSum_669'],0,100924,-1,401792
171,Div_687,Div,"['Slice_704', 'Slice_710']",0,11756,-1,4037910
172,Div_693,Div,"['Slice_729', 'Slice_735']",0,11756,-1,4037910
173,Div_699,Div,"['Slice_754', 'Slice_760']",0,11756,-1,4037910
174,ReduceSum_649,ReduceSum,['Pow_650'],0,213598,-1,297641
175,ReduceSum_669,ReduceSum,['Pow_670'],0,213598,-1,297641
176,Slice_704,Slice,['Sin_705'],113706,5700,-1,51250
177,Slice_710,Slice,['Cos_711'],113706,5700,-1,51250
178,Slice_729,Slice,['Sin_730'],113706,5700,-1,51250
179,Slice_735,Slice,['Cos_736'],113706,5700,-1,51250
180,Slice_754,Slice,['Sin_755'],113706,5700,-1,51250
181,Slice_760,Slice,['Cos_761'],113706,5700,-1,51250
182,Pow_650,Pow,['Pow_672'],294426,213598,-1,401792
183,Pow_670,Pow,['Pow_674'],294426,213598,-1,401792
184,Sin_705,Sin,['Unsqueeze_713'],133602,5700,-1,35709
185,Cos_711,Cos,['Unsqueeze_715'],133602,5700,-1,34533
186,Sin_730,Sin,['Unsqueeze_738'],133602,5700,-1,35709
187,Cos_736,Cos,['Unsqueeze_740'],133602,5700,-1,34533
188,Sin_755,Sin,['Unsqueeze_763'],133602,5700,-1,35709
189,Cos_761,Cos,['Unsqueeze_765'],133602,5700,-1,34533
190,Pow_672,Pow,['Add_675'],294426,213598,-1,401792
191,Pow_674,Pow,['Add_675'],294426,213598,-1,401792
192,Unsqueeze_713,Unsqueeze,['Concat_716'],133602,5642,-1,3793
193,Unsqueeze_715,Unsqueeze,['Concat_716'],133602,5642,-1,3793
194,Unsqueeze_738,Unsqueeze,['Concat_741'],133602,5642,-1,3793
195,Unsqueeze_740,Unsqueeze,['Concat_741'],133602,5642,-1,3793
196,Unsqueeze_763,Unsqueeze,['Concat_766'],133602,5642,-1,3793
197,Unsqueeze_765,Unsqueeze,['Concat_766'],133602,5642,-1,3793
198,Add_675,Add,['Pow_677'],1571236,213598,-1,224644
199,Concat_716,Concat,['Reshape_724'],65999,0,5518,5518
200,Concat_741,Concat,['Reshape_749'],65999,0,5518,5518
201,Concat_766,Concat,['Reshape_774'],65999,0,5518,5518
202,Pow_677,Pow,"['Mul_783', 'Mul_792', 'Mul_801', 'Mul_810', 'Mul_819', 'Mul_828', 'Mul_837', 'Mul_846']",294426,213598,-1,401792
203,Reshape_724,Reshape,['Concat_775'],65999,11756,-1,9051
204,Reshape_749,Reshape,['Concat_775'],65999,11756,-1,9051
205,Reshape_774,Reshape,['Concat_775'],65999,11756,-1,9051
206,Mul_783,Mul,['Softmax_784'],1571236,213598,-1,115983
207,Mul_792,Mul,['Softmax_793'],1571236,213598,-1,115983
208,Mul_801,Mul,['Softmax_802'],1571236,213598,-1,115983
209,Mul_810,Mul,['Softmax_811'],1571236,213598,-1,115983
210,Mul_819,Mul,['Softmax_820'],1571236,213598,-1,115983
211,Mul_828,Mul,['Softmax_829'],1571236,213598,-1,115983
212,Mul_837,Mul,['Softmax_838'],1571236,213598,-1,115983
213,Mul_846,Mul,['Softmax_847'],1571236,213598,-1,115983
214,Concat_775,Concat,['MatMul_776'],148662,72743,21836,21836
215,Softmax_784,Softmax,['MatMul_790'],294426,213598,-1,1303609
216,Softmax_793,Softmax,['MatMul_799'],294426,213598,-1,1303609
217,Softmax_802,Softmax,['MatMul_808'],294426,213598,-1,1303609
218,Softmax_811,Softmax,['MatMul_817'],294426,213598,-1,1303609
219,Softmax_820,Softmax,['MatMul_826'],294426,213598,-1,1303609
220,Softmax_829,Softmax,['MatMul_835'],294426,213598,-1,1303609
221,Softmax_838,Softmax,['MatMul_844'],294426,213598,-1,1303609
222,Softmax_847,Softmax,['MatMul_853'],294426,213598,-1,1303609
223,MatMul_776,MatMul,['Add_777'],124102,29165,-1,920539
224,Add_777,Add,['Relu_778'],0,29165,-1,98991
225,Relu_778,Relu,['MatMul_779'],0,29165,56138,56138
226,MatMul_779,MatMul,['Add_780'],125920,29165,-1,826667
227,Add_780,Add,['Add_781'],0,29165,-1,98991
228,Add_781,Add,"['MatMul_785', 'MatMul_794', 'MatMul_803', 'MatMul_812', 'MatMul_821', 'MatMul_830', 'MatMul_839', 'MatMul_848']",0,29165,-1,98991
229,MatMul_785,MatMul,['Add_786'],125920,29165,-1,826667
230,MatMul_794,MatMul,['Add_795'],125920,29165,-1,826667
231,MatMul_803,MatMul,['Add_804'],125920,29165,-1,826667
232,MatMul_812,MatMul,['Add_813'],125920,29165,-1,826667
233,MatMul_821,MatMul,['Add_822'],125920,29165,-1,826667
234,MatMul_830,MatMul,['Add_831'],125920,29165,-1,826667
235,MatMul_839,MatMul,['Add_840'],125920,29165,-1,826667
236,MatMul_848,MatMul,['Add_849'],125920,29165,-1,826667
237,Add_786,Add,['Relu_787'],0,29165,-1,98991
238,Add_795,Add,['Relu_796'],0,29165,-1,98991
239,Add_804,Add,['Relu_805'],0,29165,-1,98991
240,Add_813,Add,['Relu_814'],0,29165,-1,98991
241,Add_822,Add,['Relu_823'],0,29165,-1,98991
242,Add_831,Add,['Relu_832'],0,29165,-1,98991
243,Add_840,Add,['Relu_841'],0,29165,-1,98991
244,Add_849,Add,['Relu_850'],0,29165,-1,98991
245,Relu_787,Relu,['MatMul_788'],0,29165,56138,56138
246,Relu_796,Relu,['MatMul_797'],0,29165,56138,56138
247,Relu_805,Relu,['MatMul_806'],0,29165,56138,56138
248,Relu_814,Relu,['MatMul_815'],0,29165,56138,56138
249,Relu_823,Relu,['MatMul_824'],0,29165,56138,56138
250,Relu_832,Relu,['MatMul_833'],0,29165,56138,56138
251,Relu_841,Relu,['MatMul_842'],0,29165,56138,56138
252,Relu_850,Relu,['MatMul_851'],0,29165,56138,56138
253,MatMul_788,MatMul,['Add_789'],0,3094,-1,212341
254,MatMul_797,MatMul,['Add_798'],0,3094,-1,212341
255,MatMul_806,MatMul,['Add_807'],0,3094,-1,212341
256,MatMul_815,MatMul,['Add_816'],0,3094,-1,212341
257,MatMul_824,MatMul,['Add_825'],0,3094,-1,212341
258,MatMul_833,MatMul,['Add_834'],0,3094,-1,212341
259,MatMul_842,MatMul,['Add_843'],0,3094,-1,212341
260,MatMul_851,MatMul,['Add_852'],0,3094,-1,212341
261,Add_789,Add,['MatMul_790'],133602,3094,-1,17635
262,Add_798,Add,['MatMul_799'],133602,3094,-1,17635
263,Add_807,Add,['MatMul_808'],133602,3094,-1,17635
264,Add_816,Add,['MatMul_817'],133602,3094,-1,17635
265,Add_825,Add,['MatMul_826'],133602,3094,-1,17635
266,Add_834,Add,['MatMul_835'],133602,3094,-1,17635
267,Add_843,Add,['MatMul_844'],133602,3094,-1,17635
268,Add_852,Add,['MatMul_853'],133602,3094,-1,17635
269,MatMul_790,MatMul,['Concat_854'],294426,3094,-1,1490986
270,MatMul_799,MatMul,['Concat_854'],294426,3094,-1,1490986
271,MatMul_808,MatMul,['Concat_854'],294426,3094,-1,1490986
272,MatMul_817,MatMul,['Concat_854'],294426,3094,-1,1490986
273,MatMul_826,MatMul,['Concat_854'],294426,3094,-1,1490986
274,MatMul_835,MatMul,['Concat_854'],294426,3094,-1,1490986
