,op_id,op_type,suc,maca,cv_dsp
0,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu'],165381,6686721
1,InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu'],165423,165423
2,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu'],93868,2244020
3,InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu'],287852,287852
4,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu,Conv,['InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu'],246190,806070
5,InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu,Relu,"['InceptionV4/InceptionV4/Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu']",679044,679044
6,InceptionV4/InceptionV4/Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool,MaxPool,['InceptionV4/InceptionV4/Mixed_3a/concat'],346987,1250789
7,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu'],361057,3159589
8,InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu,Relu,['InceptionV4/InceptionV4/Mixed_3a/concat'],231588,231588
9,InceptionV4/InceptionV4/Mixed_3a/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Relu']",80587,80587
10,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Relu'],37580,416811
11,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Relu'],37580,416811
12,InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_1a_3x3/Relu'],164443,164443
13,InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0b_1x7/Relu'],164443,164443
14,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_1a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_1a_3x3/Relu'],54869,621637
