,op_id,op_type,suc,read,write,maca,cv_dsp
0,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu'],83265,70466,11650,6532990
1,InceptionV4/InceptionV4/Conv2d_1a_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu'],0,70466,94957,94957
2,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu'],0,72743,21125,2171277
3,InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu'],124102,72743,91007,91007
4,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu,Conv,['InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu'],0,213598,32592,592472
5,InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu,Relu,"['InceptionV4/InceptionV4/Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu']",294426,213598,171020,171020
6,InceptionV4/InceptionV4/Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool,MaxPool,['InceptionV4/InceptionV4/Mixed_3a/concat'],294426,29573,22988,926790
7,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu'],294426,29165,37466,2835998
8,InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu,Relu,['InceptionV4/InceptionV4/Mixed_3a/concat'],125920,29165,76503,76503
9,InceptionV4/InceptionV4/Mixed_3a/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Relu']",0,48313,32274,32274
