,op_id,dispatch
0,Unsqueeze_0,CV_DSP_1
1,Squeeze_3,CV_DSP_1
2,Conv_4,MACA
3,Relu_5,MACA
4,MaxPool_6,MACA
5,Conv_12,CV_DSP_1
6,Conv_7,MACA
7,Relu_8,MACA
8,Conv_9,MACA
9,Relu_10,MACA
10,Conv_11,MACA
11,Add_13,CV_DSP_1
12,Relu_14,MACA
13,Conv_15,MACA
14,Relu_16,MACA
15,Conv_17,MACA
16,Relu_18,CV_DSP_1
17,Conv_19,MACA
18,Add_20,CV_DSP_1
19,Relu_21,CV_DSP_1
20,Clip_1654,MACA
21,Conv_22,MACA
22,Relu_23,CV_DSP_1
23,Conv_24,MACA
24,Relu_25,CV_DSP_1
25,Conv_26,MACA
26,Add_27,CV_DSP_1
27,Relu_28,MACA
28,Conv_29,MACA
29,Cast_1655,CV_DSP_0
30,Unsqueeze_1656,CV_DSP_0
31,Cast_1657,CV_DSP_0
32,Conv_34,MACA
33,Relu_30,CV_DSP_1
34,Conv_31,MACA
35,Relu_32,CV_DSP_1
36,Conv_33,MACA
37,Add_35,CV_DSP_1
38,Relu_36,CV_DSP_1
39,Conv_37,MACA
40,Relu_38,CV_DSP_1
41,Conv_39,MACA
42,Relu_40,CV_DSP_1
43,Conv_41,MACA
44,Add_42,CV_DSP_1
45,Relu_43,CV_DSP_1
46,Conv_44,MACA
47,Relu_45,CV_DSP_1
48,Conv_46,MACA
49,Relu_47,CV_DSP_1
50,Conv_48,MACA
51,Add_49,CV_DSP_1
52,Relu_50,MACA
53,Conv_51,MACA
54,Relu_52,CV_DSP_1
55,Conv_53,MACA
56,Relu_54,CV_DSP_1
57,Conv_55,MACA
58,Add_56,CV_DSP_1
59,Relu_57,CV_DSP_1
60,Conv_58,MACA
61,Conv_63,MACA
62,Relu_59,CV_DSP_1
63,Conv_60,MACA
64,Relu_61,CV_DSP_1
65,Conv_62,MACA
66,Add_64,CV_DSP_1
67,Relu_65,CV_DSP_1
68,Conv_66,MACA
69,Relu_67,CV_DSP_1
70,Conv_68,MACA
71,Relu_69,CV_DSP_1
72,Conv_70,MACA
73,Add_71,CV_DSP_1
74,Relu_72,CV_DSP_1
75,Conv_73,MACA
76,Relu_74,CV_DSP_1
77,Conv_75,MACA
78,Relu_76,CV_DSP_1
79,Conv_77,MACA
80,Add_78,CV_DSP_1
81,Relu_79,CV_DSP_1
82,Conv_80,MACA
83,Relu_81,MACA
84,Conv_82,MACA
85,Relu_83,MACA
86,Conv_84,MACA
87,Add_85,CV_DSP_1
88,Relu_86,MACA
89,Conv_87,MACA
90,Relu_88,MACA
91,Conv_89,MACA
92,Relu_90,MACA
93,Conv_91,MACA
94,Add_92,CV_DSP_1
95,Relu_93,MACA
96,Conv_94,MACA
97,Relu_95,MACA
98,Conv_96,MACA
99,Relu_97,MACA
100,Conv_98,MACA
101,Add_99,CV_DSP_1
102,Relu_100,MACA
103,Conv_101,MACA
104,Relu_102,CV_DSP_1
105,Conv_103,MACA
106,Conv_106,MACA
107,Relu_104,CV_DSP_1
108,Conv_105,MACA
109,Add_107,CV_DSP_1
110,Relu_108,MACA
111,Conv_109,MACA
112,Relu_110,MACA
113,Conv_111,MACA
114,Relu_112,MACA
115,Conv_113,MACA
116,Add_114,CV_DSP_1
117,Relu_115,CV_DSP_1
118,Conv_116,MACA
119,Relu_117,CV_DSP_1
120,Conv_118,MACA
121,Relu_119,CV_DSP_1
122,Conv_120,MACA
123,Add_121,CV_DSP_1
124,Relu_122,CV_DSP_1
125,Reshape_133,CV_DSP_1
126,Reshape_147,CV_DSP_1
127,Conv_150,MACA
128,Reshape_160,CV_DSP_0
129,Reshape_1190,CV_DSP_1
130,Transpose_1193,CV_DSP_1
131,Reshape_1200,CV_DSP_1
132,MatMul_1223,CV_DSP_1
133,Add_1225,CV_DSP_1
134,Reshape_1233,CV_DSP_1
135,Reshape_1328,CV_DSP_1
136,Transpose_1329,CV_DSP_1
137,Reshape_1336,CV_DSP_1
138,grid_sampler_1352,CV_DSP_1
139,Unsqueeze_1363,CV_DSP_1
140,Shape_1365,CV_DSP_1
141,Slice_1369,CV_DSP_1
142,Concat_1371,CV_DSP_1
143,Reshape_1372,CV_DSP_1
144,Mul_1373,CV_DSP_1
145,ReduceSum_1374,CV_DSP_1
146,Reshape_1380,CV_DSP_1
147,Transpose_1381,CV_DSP_1
148,Reshape_1390,CV_DSP_1
149,Gather_1394,CV_DSP_0
150,Gather_1520,CV_DSP_1
151,Gather_1396,CV_DSP_1
152,Gather_1522,CV_DSP_0
153,Slice_1401,CV_DSP_0
154,Slice_1527,CV_DSP_1
155,Gather_1436,CV_DSP_1
156,Add_1402,CV_DSP_0
157,Gather_1438,CV_DSP_1
158,Gather_1478,CV_DSP_1
159,Gather_1480,CV_DSP_1
160,Gather_1562,CV_DSP_1
161,Gather_1564,CV_DSP_1
162,Slice_1443,CV_DSP_0
163,Reshape_1430,CV_DSP_1
164,Gather_1604,CV_DSP_0
165,ScatterND_1431,CV_DSP_1
166,Gather_1606,CV_DSP_0
167,Slice_1569,CV_DSP_0
168,Gather_1433,CV_DSP_1
169,Gather_1434,CV_DSP_1
170,Add_1444,CV_DSP_1
171,Slice_1485,CV_DSP_1
172,Reshape_1472,CV_DSP_0
173,ScatterND_1473,CV_DSP_0
174,Slice_1611,CV_DSP_0
175,Gather_1475,CV_DSP_1
176,Gather_1476,CV_DSP_1
177,Add_1486,CV_DSP_1
178,Reshape_1514,CV_DSP_1
179,ScatterND_1515,CV_DSP_1
180,Gather_1517,CV_DSP_1
181,Gather_1518,CV_DSP_1
182,Add_1528,CV_DSP_1
183,Reshape_1556,CV_DSP_1
184,ScatterND_1557,CV_DSP_0
185,Gather_1559,CV_DSP_1
186,Gather_1560,CV_DSP_1
187,Add_1570,CV_DSP_0
188,Reshape_1598,CV_DSP_1
189,ScatterND_1599,CV_DSP_1
190,Gather_1601,CV_DSP_1
191,Gather_1602,CV_DSP_1
192,Add_1612,CV_DSP_1
193,Reshape_1640,CV_DSP_1
194,ScatterND_1641,CV_DSP_1
195,Div_1658,CV_DSP_1
196,MatMul_1661,CV_DSP_1
197,Add_1663,CV_DSP_1
198,Add_1664,CV_DSP_1
199,ReduceMean_1665,CV_DSP_1
200,Sub_1666,CV_DSP_1
201,Mul_1667,CV_DSP_1
202,ReduceMean_1668,CV_DSP_1
203,Add_1670,CV_DSP_1
204,Sqrt_1671,CV_DSP_1
205,Reciprocal_1672,CV_DSP_1
206,Mul_1673,CV_DSP_1
207,Mul_1675,CV_DSP_1
208,Add_1677,CV_DSP_1
209,Transpose_1678,CV_DSP_1
210,Reshape_1688,CV_DSP_1
211,Reshape_1706,CV_DSP_1
212,Transpose_1707,CV_DSP_1
213,MatMul_1732,CV_DSP_1
214,MatMul_1828,CV_DSP_0
215,MatMul_1719,CV_DSP_0
216,Add_1830,CV_DSP_1
217,Add_1734,CV_DSP_1
218,Reshape_1742,CV_DSP_1
219,Div_1824,CV_DSP_1
220,Reshape_1838,CV_DSP_0
221,Softmax_1839,CV_DSP_0
222,Add_1825,CV_DSP_1
223,Reshape_1845,CV_DSP_0
224,Mul_1865,CV_DSP_1
225,Reshape_1901,CV_DSP_0
226,Sub_1867,CV_DSP_1
227,Transpose_1902,CV_DSP_0
228,Add_1721,CV_DSP_1
229,Reshape_1910,CV_DSP_0
230,Reshape_1885,CV_DSP_1
231,Reshape_1729,CV_DSP_0
232,Concat_1911,MACA
233,Transpose_1886,CV_DSP_1
234,Transpose_1870,CV_DSP_0
235,Concat_1912,MACA
236,Reshape_1894,CV_DSP_1
237,Reshape_1877,CV_DSP_0
238,Concat_1913,MACA
239,grid_sampler_1895,CV_DSP_0
240,Mul_1914,CV_DSP_1
241,ReduceSum_1915,CV_DSP_1
242,Reshape_1921,CV_DSP_1
243,Transpose_1922,CV_DSP_1
244,MatMul_1925,CV_DSP_1
245,Add_1927,CV_DSP_1
246,ReduceMean_1928,CV_DSP_1
247,Sub_1929,CV_DSP_1
248,Mul_1930,CV_DSP_1
249,ReduceMean_1931,CV_DSP_1
250,Add_1933,CV_DSP_1
251,Sqrt_1934,CV_DSP_1
252,Reciprocal_1935,CV_DSP_1
253,Mul_1936,CV_DSP_1
254,Mul_1938,CV_DSP_1
255,Add_1940,CV_DSP_1
256,Transpose_1941,CV_DSP_1
257,Reshape_1953,CV_DSP_1
