,op_id,dispatch
0,Unsqueeze_12,cv_dsp1
1,Concat_13,cv_dsp1
2,Squeeze_14,maca
3,Conv_15,maca
4,Relu_16,maca
5,MaxPool_17,maca
6,Conv_18,maca
7,Relu_19,maca
8,Conv_20,maca
9,Conv_23,maca
10,Relu_21,maca
11,Conv_22,maca
12,Reshape_231,cv_dsp0
13,Tile_234,cv_dsp0
14,MatMul_235,cv_dsp0
15,Squeeze_add_by_lhy,cv_dsp0
16,Slice_249,cv_dsp0
17,Slice_254,cv_dsp0
18,Sub_256,cv_dsp0
19,Div_258,cv_dsp0
20,ScatterND_328,cv_dsp0
21,Slice_333,cv_dsp0
22,Sub_335,cv_dsp0
23,Div_337,cv_dsp0
24,ScatterND_470,cv_dsp0
25,Slice_475,cv_dsp0
26,Sub_477,cv_dsp0
27,Div_479,cv_dsp0
28,ScatterND_612,cv_dsp0
29,Reshape_613,cv_dsp0
30,Add_24,cv_dsp1
31,Relu_25,maca
32,Conv_26,maca
33,Relu_27,maca
34,Conv_28,maca
35,Relu_29,maca
36,Conv_30,maca
37,Add_31,cv_dsp1
38,Relu_32,cv_dsp1
39,Conv_33,maca
40,Relu_34,maca
41,Conv_35,maca
42,Relu_36,maca
43,Conv_37,maca
44,Add_38,cv_dsp1
45,Relu_39,maca
46,Conv_40,maca
47,Relu_41,maca
48,Conv_42,maca
49,Conv_45,maca
50,Relu_43,maca
51,Conv_44,maca
52,Add_46,cv_dsp1
53,Relu_47,cv_dsp1
54,Conv_48,maca
55,Relu_49,maca
56,Conv_50,maca
57,Relu_51,maca
58,Conv_52,maca
59,Add_53,cv_dsp1
60,Relu_54,cv_dsp1
61,Conv_55,maca
62,Relu_56,maca
63,Conv_57,maca
64,Relu_58,maca
65,Conv_59,maca
66,Add_60,cv_dsp1
67,Relu_61,cv_dsp1
68,Conv_62,maca
69,Relu_63,maca
70,Conv_64,maca
71,Relu_65,maca
72,Conv_66,maca
73,Add_67,cv_dsp1
74,Relu_68,maca
75,Conv_69,maca
76,Relu_70,maca
77,Conv_71,maca
78,Conv_74,maca
79,Relu_72,cv_dsp1
80,Conv_73,maca
81,Add_75,cv_dsp1
82,Relu_76,maca
83,Conv_77,maca
84,Relu_78,maca
85,Conv_79,maca
86,Relu_80,maca
87,Conv_81,maca
88,Add_82,cv_dsp0
89,Relu_83,maca
90,Conv_84,maca
91,Relu_85,maca
92,Conv_86,maca
93,Relu_87,maca
94,Conv_88,maca
95,Add_89,cv_dsp1
96,Relu_90,maca
97,Conv_91,maca
98,Relu_92,maca
99,Conv_93,maca
100,Relu_94,maca
101,Conv_95,maca
102,Add_96,cv_dsp1
103,Relu_97,maca
104,Conv_98,maca
105,Relu_99,maca
106,Conv_100,maca
107,Relu_101,maca
108,Conv_102,maca
109,Add_103,cv_dsp1
110,Relu_104,cv_dsp1
111,Conv_105,maca
112,Relu_106,maca
113,Conv_107,maca
114,Relu_108,maca
115,Conv_109,maca
116,Add_110,cv_dsp1
117,Relu_111,maca
118,Conv_112,maca
119,Conv_117,maca
120,Relu_113,cv_dsp1
121,Conv_114,maca
122,Relu_115,maca
123,Conv_116,maca
124,Add_118,cv_dsp0
125,Relu_119,maca
126,Conv_120,maca
127,Relu_121,maca
128,Conv_122,maca
129,Relu_123,maca
130,Conv_124,maca
131,Add_125,cv_dsp1
132,Relu_126,maca
133,Conv_127,maca
134,Relu_128,maca
135,Conv_129,maca
136,Relu_130,maca
137,Conv_131,maca
138,Add_132,cv_dsp1
139,Relu_133,cv_dsp1
140,Reshape_134,cv_dsp1
141,Reshape_614,cv_dsp1
142,Reshape_146,cv_dsp1
143,Conv_615,maca
144,Relu_616,maca
145,Conv_617,maca
146,Transpose_618,cv_dsp1
147,Reshape_619,cv_dsp1
148,Softmax_620,cv_dsp1
149,Unsqueeze_622,cv_dsp1
150,Mul_623,cv_dsp1
151,ReduceSum_625,cv_dsp1
152,Reshape_626,cv_dsp1
153,Mul_681,cv_dsp1
154,Gather_683,cv_dsp1
155,Slice_660,cv_dsp1
156,Unsqueeze_664,cv_dsp1
157,Sub_665,cv_dsp1
158,Slice_640,cv_dsp0
159,Unsqueeze_644,cv_dsp0
160,Gather_689,cv_dsp0
161,Unsqueeze_691,cv_dsp0
162,Sub_645,cv_dsp0
163,Div_693,cv_dsp1
164,Gather_695,cv_dsp0
165,Unsqueeze_697,cv_dsp0
166,Unsqueeze_685,cv_dsp0
167,Pow_647,cv_dsp0
168,Pow_667,cv_dsp0
169,Div_699,cv_dsp0
170,Div_687,cv_dsp1
171,ReduceSum_649,cv_dsp0
172,ReduceSum_669,cv_dsp0
173,Pow_670,cv_dsp0
174,Pow_674,cv_dsp0
175,Pow_650,cv_dsp0
176,Pow_672,cv_dsp0
177,Add_675,cv_dsp0
178,Pow_677,cv_dsp0
179,Mul_819,cv_dsp0
180,Mul_801,cv_dsp0
181,Softmax_820,cv_dsp0
182,Slice_754,cv_dsp1
183,Slice_735,cv_dsp1
184,Sin_755,cv_dsp1
185,Slice_710,cv_dsp1
186,Slice_729,cv_dsp1
187,Cos_736,cv_dsp1
188,Sin_730,cv_dsp1
189,Slice_760,cv_dsp1
190,Cos_711,cv_dsp1
191,Cos_761,cv_dsp1
192,Unsqueeze_738,cv_dsp1
193,Slice_704,cv_dsp1
194,Unsqueeze_740,cv_dsp1
195,Unsqueeze_763,cv_dsp1
196,Unsqueeze_715,cv_dsp1
197,Unsqueeze_765,cv_dsp1
198,Concat_766,cv_dsp1
199,Concat_741,cv_dsp1
200,Sin_705,cv_dsp1
201,Unsqueeze_713,cv_dsp1
202,Concat_716,cv_dsp1
203,Reshape_749,cv_dsp1
204,Reshape_724,cv_dsp1
205,Reshape_774,cv_dsp1
206,Concat_775,cv_dsp1
207,Softmax_802,cv_dsp1
208,Mul_810,cv_dsp0
209,Mul_828,cv_dsp0
210,MatMul_776,cv_dsp0
211,Conv_147,maca
212,Transpose_678,cv_dsp1
213,Mul_792,cv_dsp1
214,Reshape_679,cv_dsp1
215,Softmax_829,cv_dsp1
216,Add_777,cv_dsp0
217,Relu_778,cv_dsp0
218,MatMul_779,cv_dsp0
219,Add_780,cv_dsp0
220,Softmax_793,cv_dsp1
221,Add_781,cv_dsp0
222,Mul_783,cv_dsp0
223,MatMul_803,cv_dsp0
224,Mul_837,cv_dsp0
225,Mul_846,cv_dsp0
226,Add_804,cv_dsp1
227,MatMul_794,cv_dsp0
228,Softmax_784,cv_dsp1
229,Add_795,cv_dsp0
230,MatMul_839,cv_dsp0
231,Relu_796,maca
232,MatMul_830,cv_dsp1
233,MatMul_848,cv_dsp0
234,Add_831,cv_dsp1
235,Add_840,cv_dsp1
236,Relu_832,cv_dsp1
237,Relu_841,maca
238,MatMul_812,cv_dsp1
239,Add_849,cv_dsp0
240,Softmax_838,cv_dsp0
241,Relu_850,maca
242,Relu_805,cv_dsp1
243,Add_813,cv_dsp1
244,MatMul_785,cv_dsp1
245,Relu_814,maca
246,MatMul_797,cv_dsp0
247,Add_798,cv_dsp0
248,MatMul_799,cv_dsp0
249,MatMul_833,cv_dsp1
250,Add_834,cv_dsp1
251,MatMul_851,cv_dsp1
252,Add_852,cv_dsp1
253,MatMul_815,cv_dsp1
254,Softmax_847,cv_dsp1
255,MatMul_806,cv_dsp0
256,Add_786,cv_dsp0
257,Add_807,cv_dsp0
258,MatMul_821,cv_dsp0
259,Relu_787,maca
260,MatMul_842,cv_dsp1
261,Add_816,cv_dsp1
262,Add_843,cv_dsp1
263,MatMul_844,cv_dsp1
264,Softmax_811,cv_dsp0
265,Add_822,cv_dsp1
266,MatMul_835,cv_dsp1
267,MatMul_808,cv_dsp0
268,Relu_823,maca
269,MatMul_824,cv_dsp1
270,MatMul_788,cv_dsp0
271,MatMul_853,cv_dsp1
272,Add_789,cv_dsp0
273,MatMul_790,cv_dsp0
274,MatMul_817,cv_dsp1
275,Add_825,cv_dsp0
276,MatMul_826,cv_dsp0
277,Concat_854,cv_dsp0
278,Add_956,cv_dsp0
279,Transpose_957,cv_dsp0
280,Reshape_969,cv_dsp0
281,Conv_970,maca
282,Relu_971,maca
283,Conv_972,maca
284,Relu_973,maca
285,Conv_974,maca
286,Relu_975,maca
287,Reshape_987,cv_dsp1
288,Transpose_988,cv_dsp1
289,MatMul_989,cv_dsp1
290,MatMul_1019,cv_dsp0
291,Add_990,cv_dsp1
292,ReduceMean_991,cv_dsp1
293,Add_1020,cv_dsp0
294,Relu_1021,cv_dsp0
295,MatMul_1022,cv_dsp0
296,Sub_992,cv_dsp1
297,Pow_994,cv_dsp1
298,ReduceMean_995,cv_dsp1
299,Add_1023,cv_dsp0
300,Relu_1024,cv_dsp0
301,Add_997,cv_dsp1
302,MatMul_1025,cv_dsp0
303,Sqrt_998,cv_dsp1
304,Div_999,cv_dsp1
305,Add_1026,cv_dsp0
306,Slice_1031,cv_dsp0
307,Slice_1047,cv_dsp0
308,Slice_1052,cv_dsp0
309,Slice_1039,cv_dsp0
310,Add_1033,cv_dsp0
311,Add_1041,cv_dsp0
312,Sigmoid_1034,cv_dsp0
313,Sigmoid_1042,cv_dsp0
314,Mul_1000,cv_dsp1
315,Add_1001,cv_dsp1
316,Relu_1002,cv_dsp1
317,MatMul_1003,cv_dsp1
318,Add_1004,cv_dsp1
319,ReduceMean_1005,cv_dsp1
320,Sub_1006,cv_dsp1
321,Pow_1008,cv_dsp1
322,ReduceMean_1009,cv_dsp1
323,Add_1011,cv_dsp1
324,Sqrt_1012,cv_dsp1
325,Div_1013,cv_dsp1
326,Mul_1014,cv_dsp1
327,Add_1015,cv_dsp1
328,Relu_1016,cv_dsp1
329,Concat_1053,cv_dsp0
330,Unsqueeze_1058,cv_dsp0
331,Concat_1059,cv_dsp0
332,Slice_1082,cv_dsp0
333,MatMul_1017,cv_dsp1
334,Slice_1064,cv_dsp0
335,Slice_1091,cv_dsp0
336,Mul_1084,cv_dsp0
337,Slice_1073,cv_dsp0
338,Mul_1066,cv_dsp0
339,Slice_1096,cv_dsp0
340,Mul_1075,cv_dsp0
341,Add_1086,cv_dsp0
342,Add_1068,cv_dsp0
343,Add_1077,cv_dsp0
344,Add_1018,cv_dsp1
345,Concat_1097,cv_dsp0
346,Unsqueeze_1055,cv_dsp1
347,Concat_1056,cv_dsp1
