,op_id,dispatch
0,Unsqueeze_0,cv_dsp0
1,Clip_1654,maca
2,Cast_1655,cv_dsp1
3,Unsqueeze_1656,cv_dsp1
4,Cast_1657,cv_dsp1
5,Squeeze_3,maca
6,Conv_4,maca
7,Relu_5,maca
8,MaxPool_6,maca
9,Conv_7,maca
10,Conv_12,maca
11,Relu_8,maca
12,Conv_9,maca
13,Relu_10,maca
14,Conv_11,maca
15,Add_13,cv_dsp0
16,Relu_14,maca
17,Conv_15,maca
18,Relu_16,maca
19,Conv_17,maca
20,Relu_18,maca
21,Conv_19,maca
22,Add_20,cv_dsp1
23,Relu_21,maca
24,Conv_22,maca
25,Relu_23,maca
26,Conv_24,maca
27,Relu_25,maca
28,Conv_26,maca
29,Add_27,cv_dsp0
30,Relu_28,maca
31,Conv_29,maca
32,Relu_30,maca
33,Conv_31,maca
34,Relu_32,maca
35,Conv_33,maca
36,Conv_34,maca
37,Add_35,cv_dsp0
38,Relu_36,cv_dsp0
39,Conv_37,maca
40,Relu_38,maca
41,Conv_39,maca
42,Relu_40,maca
43,Conv_41,maca
44,Add_42,cv_dsp1
45,Relu_43,maca
46,Conv_44,maca
47,Relu_45,maca
48,Conv_46,maca
49,Relu_47,maca
50,Conv_48,maca
51,Add_49,cv_dsp0
52,Relu_50,maca
53,Conv_51,maca
54,Relu_52,maca
55,Conv_53,maca
56,Relu_54,maca
57,Conv_55,maca
58,Add_56,cv_dsp0
59,Relu_57,cv_dsp0
60,Conv_58,maca
61,Conv_63,maca
62,Relu_59,cv_dsp0
63,Conv_60,maca
64,Relu_61,maca
65,Conv_62,maca
66,Add_64,cv_dsp0
67,Relu_65,cv_dsp0
68,Conv_66,maca
69,Relu_67,maca
70,Conv_68,maca
71,Relu_69,maca
72,Conv_70,maca
73,Add_71,cv_dsp0
74,Relu_72,cv_dsp0
75,Conv_73,maca
76,Relu_74,maca
77,Conv_75,maca
78,Relu_76,maca
79,Conv_77,maca
80,Add_78,cv_dsp1
81,Relu_79,cv_dsp1
82,Conv_80,maca
83,Relu_81,maca
84,Conv_82,maca
85,Relu_83,maca
86,Conv_84,maca
87,Add_85,cv_dsp0
88,Relu_86,cv_dsp0
89,Conv_87,maca
90,Relu_88,maca
91,Conv_89,maca
92,Relu_90,maca
93,Conv_91,maca
94,Add_92,cv_dsp0
95,Relu_93,maca
96,Conv_94,maca
97,Relu_95,maca
98,Conv_96,maca
99,Relu_97,maca
