,op_id,dispatch
0,Unsqueeze_12,cv_dsp1
1,Reshape_231,cv_dsp0
2,Concat_13,cv_dsp1
3,Squeeze_14,cv_dsp1
4,Conv_15,cv_dsp1
5,Relu_16,cv_dsp1
6,MaxPool_17,cv_dsp1
7,Conv_18,cv_dsp1
8,Relu_19,cv_dsp1
9,Conv_20,cv_dsp1
10,Conv_23,cv_dsp0
11,Tile_234,cv_dsp0
12,MatMul_235,cv_dsp0
13,Squeeze_add_by_lhy,cv_dsp0
14,Slice_249,cv_dsp0
15,Slice_254,cv_dsp0
16,Sub_256,cv_dsp0
17,Div_258,cv_dsp0
18,ScatterND_328,cv_dsp0
19,Slice_333,cv_dsp0
20,Sub_335,cv_dsp0
21,Div_337,cv_dsp0
22,ScatterND_470,cv_dsp0
23,Slice_475,cv_dsp0
24,Sub_477,cv_dsp0
25,Div_479,cv_dsp0
26,ScatterND_612,cv_dsp0
27,Reshape_613,cv_dsp0
28,Relu_21,cv_dsp1
29,Conv_22,cv_dsp1
30,Add_24,cv_dsp1
31,Relu_25,cv_dsp1
32,Conv_26,cv_dsp1
33,Relu_27,cv_dsp1
34,Conv_28,cv_dsp1
35,Relu_29,cv_dsp1
36,Conv_30,cv_dsp1
37,Add_31,cv_dsp1
38,Relu_32,cv_dsp1
39,Conv_33,cv_dsp1
40,Relu_34,cv_dsp1
41,Conv_35,cv_dsp1
42,Relu_36,cv_dsp1
43,Conv_37,cv_dsp1
44,Add_38,cv_dsp1
45,Relu_39,cv_dsp1
46,Conv_40,cv_dsp1
47,Conv_45,cv_dsp0
48,Relu_41,cv_dsp1
49,Conv_42,cv_dsp1
50,Relu_43,cv_dsp1
51,Conv_44,cv_dsp1
52,Add_46,cv_dsp1
53,Relu_47,cv_dsp1
54,Conv_48,cv_dsp1
55,Relu_49,cv_dsp1
56,Conv_50,cv_dsp1
57,Relu_51,cv_dsp1
58,Conv_52,cv_dsp1
59,Add_53,cv_dsp1
60,Relu_54,cv_dsp1
61,Conv_55,cv_dsp1
62,Relu_56,cv_dsp1
63,Conv_57,cv_dsp1
64,Relu_58,cv_dsp1
65,Conv_59,cv_dsp1
66,Add_60,cv_dsp1
67,Relu_61,cv_dsp1
68,Conv_62,cv_dsp1
69,Relu_63,cv_dsp1
70,Conv_64,cv_dsp1
71,Relu_65,cv_dsp1
72,Conv_66,cv_dsp1
73,Add_67,cv_dsp1
74,Relu_68,cv_dsp1
75,Conv_69,cv_dsp1
76,Conv_74,cv_dsp0
77,Relu_70,cv_dsp1
78,Conv_71,cv_dsp1
79,Relu_72,cv_dsp1
80,Conv_73,cv_dsp1
81,Add_75,cv_dsp1
82,Relu_76,cv_dsp1
83,Conv_77,cv_dsp1
84,Relu_78,cv_dsp1
85,Conv_79,cv_dsp1
86,Relu_80,cv_dsp1
87,Conv_81,cv_dsp1
88,Add_82,cv_dsp1
89,Relu_83,cv_dsp1
90,Conv_84,cv_dsp1
91,Relu_85,cv_dsp1
92,Conv_86,cv_dsp1
93,Relu_87,cv_dsp1
94,Conv_88,cv_dsp1
95,Add_89,cv_dsp1
96,Relu_90,cv_dsp1
97,Conv_91,cv_dsp1
98,Relu_92,cv_dsp1
99,Conv_93,cv_dsp1
100,Relu_94,cv_dsp1
101,Conv_95,cv_dsp1
102,Add_96,cv_dsp1
103,Relu_97,cv_dsp1
104,Conv_98,cv_dsp1
105,Relu_99,cv_dsp1
106,Conv_100,cv_dsp1
107,Relu_101,cv_dsp1
108,Conv_102,cv_dsp1
109,Add_103,cv_dsp1
