,op_id,dispatch
0,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,cv_dsp0
1,InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,cv_dsp0
2,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,cv_dsp0
3,InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,cv_dsp0
4,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,cv_dsp0
5,InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,cv_dsp0
6,InceptionV3/InceptionV3/MaxPool_3a_3x3/MaxPool,cv_dsp0
7,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu,cv_dsp0
8,InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu,cv_dsp0
9,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu,cv_dsp0
10,InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu,cv_dsp0
11,InceptionV3/InceptionV3/MaxPool_5a_3x3/MaxPool,cv_dsp0
12,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0a_1x1/Relu,cv_dsp0
13,InceptionV3/InceptionV3/Mixed_5b/Branch_3/AvgPool_0a_3x3/AvgPool,cv_dsp1
14,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_0/Conv2d_0a_1x1/Relu,cv_dsp1
15,InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0a_1x1/Relu,cv_dsp0
16,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0b_3x3/Relu,cv_dsp0
17,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0a_1x1/Relu,cv_dsp1
18,InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0b_3x3/Relu,cv_dsp0
