,op_id,dispatch
0,node0,MACA
1,node1,MACA
2,node2,MACA
3,node3,MACA
4,node4,MACA
5,node5,MACA
6,node6,MACA
7,node7,MACA
8,node140,CV_DSP_0
9,node8,MACA
10,node9,MACA
11,node12,MACA
12,node20,CV_DSP_0
13,node16,MACA
14,node13,CV_DSP_1
15,node10,MACA
16,node17,CV_DSP_1
17,node14,MACA
18,node11,CV_DSP_0
19,node21,MACA
20,node15,CV_DSP_0
21,node18,MACA
22,node22,CV_DSP_0
23,node19,MACA
24,node23,MACA
25,node30,MACA
26,node34,CV_DSP_1
27,node24,MACA
28,node31,CV_DSP_0
29,node26,MACA
30,node32,MACA
31,node27,CV_DSP_0
32,node35,MACA
33,node25,CV_DSP_1
34,node28,MACA
35,node33,CV_DSP_1
36,node36,CV_DSP_0
37,node29,MACA
38,node37,MACA
39,node38,MACA
40,node41,MACA
41,node49,CV_DSP_1
42,node39,MACA
43,node42,CV_DSP_0
44,node45,MACA
45,node40,CV_DSP_1
46,node50,MACA
47,node46,CV_DSP_1
48,node43,MACA
49,node47,MACA
50,node44,CV_DSP_1
51,node51,CV_DSP_0
52,node48,MACA
53,node52,MACA
54,node55,MACA
55,node63,CV_DSP_0
56,node53,MACA
57,node59,MACA
58,node56,CV_DSP_1
59,node64,MACA
60,node60,CV_DSP_1
61,node57,MACA
62,node54,CV_DSP_0
63,node61,MACA
64,node58,CV_DSP_1
65,node65,MACA
66,node62,CV_DSP_0
67,node66,MACA
68,node67,MACA
69,node77,CV_DSP_0
70,node69,MACA
71,node73,MACA
72,node70,CV_DSP_1
73,node74,CV_DSP_1
74,node71,MACA
75,node78,MACA
76,node72,CV_DSP_1
77,node75,MACA
78,node68,CV_DSP_0
79,node79,MACA
80,node76,CV_DSP_1
81,node80,MACA
82,node87,MACA
83,node91,CV_DSP_0
84,node83,MACA
85,node88,CV_DSP_1
86,node81,MACA
87,node84,CV_DSP_1
88,node82,CV_DSP_0
89,node89,MACA
90,node90,CV_DSP_1
91,node85,MACA
92,node92,MACA
93,node86,CV_DSP_0
94,node93,CV_DSP_1
95,node94,MACA
96,node97,MACA
97,node105,CV_DSP_1
98,node101,MACA
99,node98,CV_DSP_0
100,node95,MACA
101,node102,CV_DSP_0
102,node99,MACA
103,node96,CV_DSP_1
104,node106,MACA
105,node103,MACA
106,node100,CV_DSP_0
107,node107,MACA
108,node104,CV_DSP_1
109,node108,MACA
110,node109,MACA
111,node112,MACA
112,node120,CV_DSP_1
113,node110,MACA
114,node116,MACA
115,node111,CV_DSP_0
116,node113,CV_DSP_1
117,node121,MACA
118,node117,CV_DSP_0
119,node114,MACA
120,node122,CV_DSP_0
121,node118,MACA
122,node115,CV_DSP_1
123,node119,CV_DSP_0
124,node123,MACA
125,node126,MACA
126,node134,CV_DSP_1
127,node130,MACA
128,node127,CV_DSP_1
129,node131,CV_DSP_0
130,node124,MACA
131,node135,MACA
132,node128,MACA
133,node125,CV_DSP_0
134,node132,MACA
135,node129,CV_DSP_1
136,node136,MACA
137,node133,CV_DSP_0
138,node137,MACA
139,node138,CV_DSP_1
140,node139,CV_DSP_1
141,node141,MACA
