,op_id,dispatch
0,1,CPU_B
1,2,GPU
2,3,GPU
3,4,CPU_B
4,5,CPU_B
5,6,CPU_B
6,7,CPU_B
7,8,GPU
8,11,CPU_B
9,14,CPU_S
10,12,CPU_B
11,9,GPU
12,15,CPU_S
13,10,CPU_B
14,13,GPU
15,16,CPU_B
16,18,CPU_S
17,20,CPU_B
18,23,GPU
19,17,CPU_B
20,21,GPU
21,19,CPU_B
22,24,CPU_S
23,22,GPU
24,25,CPU_B
25,26,GPU
26,27,CPU_S
27,29,CPU_B
28,30,CPU_B
29,32,GPU
30,28,CPU_B
31,33,CPU_S
32,31,GPU
33,34,CPU_B
34,35,CPU_B
35,36,GPU
36,39,CPU_S
37,37,GPU
38,38,GPU
39,40,CPU_B
40,42,CPU_S
41,45,CPU_B
42,50,GPU
43,46,GPU
44,51,CPU_B
45,47,CPU_B
46,41,CPU_S
47,43,GPU
48,48,CPU_B
49,44,GPU
50,49,CPU_B
51,52,CPU_B
52,54,CPU_S
53,57,CPU_B
54,62,GPU
55,63,GPU
56,58,CPU_B
57,59,CPU_B
58,53,CPU_S
59,55,GPU
60,60,CPU_B
61,56,GPU
62,61,CPU_B
63,64,CPU_B
64,65,CPU_S
65,66,GPU
66,69,CPU_B
67,70,CPU_B
68,74,GPU
69,67,GPU
70,71,CPU_B
71,75,CPU_S
72,72,CPU_B
73,68,GPU
74,73,CPU_B
75,76,CPU_B
76,78,CPU_S
77,81,CPU_B
78,86,GPU
79,87,GPU
80,82,CPU_B
81,77,CPU_S
82,79,GPU
83,83,CPU_B
84,84,CPU_B
85,80,GPU
86,85,CPU_B
87,88,CPU_B
88,89,GPU
89,91,CPU_B
90,95,CPU_S
91,92,CPU_B
92,90,CPU_S
93,93,CPU_B
94,94,CPU_B
95,96,CPU_B
96,97,CPU_S
97,98,GPU
98,102,CPU_B
99,103,CPU_B
100,100,GPU
101,107,CPU_S
102,99,CPU_S
103,104,CPU_B
104,105,GPU
105,108,CPU_B
106,106,GPU
107,101,CPU_S
108,109,CPU_B
109,111,CPU_S
110,115,CPU_B
111,120,GPU
112,121,GPU
113,116,CPU_B
114,117,CPU_B
115,118,GPU
116,112,CPU_S
117,110,CPU_B
118,113,GPU
119,119,CPU_B
120,114,CPU_B
121,122,CPU_B
122,123,CPU_B
123,124,CPU_B
124,125,CPU_B
125,126,CPU_B
