,group_id,graph_id,op_id,order,dispatch
0,group0,27,Slice_1082,4.0,cv_dsp0
1,group0,27,Slice_1073,2.0,cv_dsp0
2,group0,27,Slice_1096,0.0,cv_dsp0
3,group0,27,Slice_1091,3.0,cv_dsp0
4,group0,27,Slice_1064,1.0,cv_dsp0
5,group0,27,Mul_1084,7.0,cv_dsp0
6,group0,27,Mul_1075,6.0,cv_dsp0
7,group0,27,Mul_1066,5.0,cv_dsp0
8,group0,27,Add_1086,10.0,cv_dsp0
9,group0,27,Add_1077,9.0,cv_dsp0
10,group0,27,Add_1068,8.0,cv_dsp0
11,group0,27,Concat_1097,11.0,cv_dsp0
12,group0,26,Mul_1014,0.0,cv_dsp0
13,group0,26,Add_1015,1.0,cv_dsp0
14,group0,26,Relu_1016,2.0,cv_dsp0
15,group0,26,MatMul_1017,3.0,cv_dsp0
16,group0,26,Add_1018,4.0,cv_dsp0
17,group0,26,Unsqueeze_1055,5.0,cv_dsp0
18,group0,26,Concat_1056,6.0,cv_dsp0
19,group0,25,Unsqueeze_1058,0.0,cv_dsp0
20,group0,25,Concat_1059,1.0,cv_dsp0
21,group0,24,Mul_1000,0.0,cv_dsp0
22,group0,24,Add_1001,1.0,cv_dsp0
23,group0,24,Relu_1002,2.0,cv_dsp0
24,group0,24,MatMul_1003,3.0,cv_dsp0
25,group0,24,Add_1004,4.0,cv_dsp0
26,group0,24,ReduceMean_1005,5.0,cv_dsp0
27,group0,24,Sub_1006,6.0,cv_dsp0
28,group0,24,Pow_1008,7.0,cv_dsp0
29,group0,24,ReduceMean_1009,8.0,cv_dsp0
30,group0,24,Add_1011,9.0,cv_dsp0
31,group0,24,Sqrt_1012,10.0,cv_dsp0
32,group0,24,Div_1013,11.0,cv_dsp0
33,group0,23,Slice_1047,1.0,cv_dsp0
34,group0,23,Slice_1039,0.0,cv_dsp0
35,group0,23,Slice_1052,3.0,cv_dsp0
36,group0,23,Slice_1031,2.0,cv_dsp0
37,group0,23,Add_1041,4.0,cv_dsp0
38,group0,23,Add_1033,5.0,cv_dsp0
39,group0,23,Sigmoid_1042,7.0,cv_dsp0
40,group0,23,Sigmoid_1034,6.0,cv_dsp0
41,group0,23,Concat_1053,8.0,cv_dsp0
42,group0,22,MatMul_989,0.0,cv_dsp0
43,group0,22,Add_990,1.0,cv_dsp0
44,group0,22,ReduceMean_991,2.0,cv_dsp0
45,group0,22,Sub_992,3.0,cv_dsp0
46,group0,22,Pow_994,4.0,cv_dsp0
47,group0,22,ReduceMean_995,5.0,cv_dsp0
48,group0,22,Add_997,6.0,cv_dsp0
49,group0,22,Sqrt_998,7.0,cv_dsp0
50,group0,22,Div_999,8.0,cv_dsp0
51,group0,21,MatMul_1019,0.0,cv_dsp0
52,group0,21,Add_1020,1.0,cv_dsp0
53,group0,21,Relu_1021,2.0,cv_dsp0
54,group0,21,MatMul_1022,3.0,cv_dsp0
55,group0,21,Add_1023,4.0,cv_dsp0
56,group0,21,Relu_1024,5.0,cv_dsp0
57,group0,21,MatMul_1025,6.0,cv_dsp0
58,group0,21,Add_1026,7.0,cv_dsp0
59,group0,20,Add_956,0.0,cv_dsp0
60,group0,20,Transpose_957,1.0,cv_dsp0
61,group0,20,Reshape_969,2.0,cv_dsp0
62,group0,20,Conv_970,3.0,maca
63,group0,20,Relu_971,4.0,maca
64,group0,20,Conv_972,5.0,maca
65,group0,20,Relu_973,6.0,maca
66,group0,20,Conv_974,7.0,maca
67,group0,20,Relu_975,8.0,maca
68,group0,20,Reshape_987,9.0,cv_dsp0
69,group0,20,Transpose_988,10.0,cv_dsp0
70,group0,19,Conv_120,0.0,maca
71,group0,19,Reshape_231,5.0,cv_dsp0
72,group0,19,Relu_121,1.0,maca
73,group0,19,Tile_234,6.0,cv_dsp0
74,group0,19,Conv_122,2.0,maca
75,group0,19,MatMul_235,7.0,cv_dsp0
76,group0,19,Relu_123,3.0,maca
77,group0,19,Squeeze_add_by_lhy,8.0,cv_dsp0
78,group0,19,Conv_124,4.0,maca
79,group0,19,Slice_249,9.0,cv_dsp0
80,group0,19,Add_125,23.0,cv_dsp0
81,group0,19,Slice_254,10.0,cv_dsp0
82,group0,19,Relu_126,24.0,maca
83,group0,19,Sub_256,11.0,cv_dsp0
84,group0,19,Conv_127,25.0,maca
