,group_id,graph_id,op_id,order,dispatch
0,group_dsp_maca,83,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu,0,maca
1,group_dsp_maca,83,InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu,1,maca
2,group_dsp_maca,83,InceptionResnetV2/Logits/AvgPool_1a_8x8/AvgPool,2,cv_dsp0
3,group_dsp_maca,83,InceptionResnetV2/Logits/Logits/BiasAdd,3,cv_dsp0
4,group_dsp_maca,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu,0,maca
5,group_dsp_maca,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu,1,maca
6,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu,2,maca
7,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu,3,maca
8,group_dsp_maca,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu,4,maca
9,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu,5,maca
10,group_dsp_maca,82,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu,6,maca
11,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu,7,maca
12,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/concat,8,maca
13,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/Conv2d_1x1/BiasAdd,9,maca
14,group_dsp_maca,82,InceptionResnetV2/InceptionResnetV2/Block8/add,10,cv_dsp0
15,group_dsp_maca,81,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu,0,maca
16,group_dsp_maca,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu,0,maca
17,group_dsp_maca,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu,1,maca
18,group_dsp_maca,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu,2,maca
19,group_dsp_maca,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu,3,maca
20,group_dsp_maca,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu,4,maca
21,group_dsp_maca,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu,5,maca
22,group_dsp_maca,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu,6,maca
23,group_dsp_maca,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu,7,maca
24,group_dsp_maca,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/concat,8,maca
25,group_dsp_maca,80,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/mul,9,maca
26,group_dsp_maca,80,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu,10,cv_dsp0
27,group_dsp_maca,79,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu,0,maca
28,group_dsp_maca,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu,0,maca
29,group_dsp_maca,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu,1,maca
30,group_dsp_maca,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu,2,maca
31,group_dsp_maca,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu,3,maca
32,group_dsp_maca,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu,4,maca
33,group_dsp_maca,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu,5,maca
34,group_dsp_maca,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu,6,maca
35,group_dsp_maca,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu,7,maca
36,group_dsp_maca,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/concat,8,maca
37,group_dsp_maca,78,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/mul,9,maca
38,group_dsp_maca,78,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu,10,cv_dsp0
39,group_dsp_maca,77,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu,0,maca
40,group_dsp_maca,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu,0,maca
41,group_dsp_maca,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu,1,maca
42,group_dsp_maca,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu,2,maca
43,group_dsp_maca,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu,3,maca
44,group_dsp_maca,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0b_1x3/Relu,4,maca
45,group_dsp_maca,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0b_1x3/Relu,5,maca
46,group_dsp_maca,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu,6,maca
47,group_dsp_maca,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu,7,maca
48,group_dsp_maca,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/concat,8,maca
49,group_dsp_maca,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/mul,9,maca
50,group_dsp_maca,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu,10,cv_dsp0
51,group_dsp_maca,75,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu,0,maca
52,group_dsp_maca,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0a_1x1/Relu,0,maca
53,group_dsp_maca,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_0/Conv2d_1x1/Relu,1,maca
54,group_dsp_maca,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0a_1x1/Relu,2,maca
55,group_dsp_maca,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_0/Conv2d_1x1/Relu,3,maca
56,group_dsp_maca,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0b_1x3/Relu,4,maca
57,group_dsp_maca,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0b_1x3/Relu,5,maca
58,group_dsp_maca,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0c_3x1/Relu,6,maca
59,group_dsp_maca,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0c_3x1/Relu,7,maca
60,group_dsp_maca,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/concat,8,maca
61,group_dsp_maca,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/mul,9,maca
62,group_dsp_maca,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu,10,cv_dsp0
63,group_dsp_maca,73,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Relu,0,maca
64,group_dsp_maca,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_0/Conv2d_1x1/Relu,0,maca
65,group_dsp_maca,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0a_1x1/Relu,1,maca
66,group_dsp_maca,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_0/Conv2d_1x1/Relu,2,maca
67,group_dsp_maca,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0a_1x1/Relu,3,maca
68,group_dsp_maca,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0b_1x3/Relu,4,maca
69,group_dsp_maca,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0b_1x3/Relu,5,maca
70,group_dsp_maca,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0c_3x1/Relu,6,maca
71,group_dsp_maca,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0c_3x1/Relu,7,maca
72,group_dsp_maca,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/concat,8,maca
73,group_dsp_maca,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/mul,9,maca
74,group_dsp_maca,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Relu,10,cv_dsp0
75,group_dsp_maca,71,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Relu,0,maca
76,group_dsp_maca,70,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_1/Conv2d_0a_1x1/Relu,0,maca
77,group_dsp_maca,70,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_0/Conv2d_1x1/Relu,1,maca
78,group_dsp_maca,70,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_1/Conv2d_0a_1x1/Relu,2,maca
79,group_dsp_maca,70,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_0/Conv2d_1x1/Relu,3,maca
80,group_dsp_maca,70,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_1/Conv2d_0b_1x3/Relu,4,maca
81,group_dsp_maca,70,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_1/Conv2d_0b_1x3/Relu,5,maca
82,group_dsp_maca,70,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_1/Conv2d_0c_3x1/Relu,6,maca
83,group_dsp_maca,70,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Branch_1/Conv2d_0c_3x1/Relu,7,maca
84,group_dsp_maca,70,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/concat,8,maca
85,group_dsp_maca,70,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/mul,9,maca
86,group_dsp_maca,70,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Relu,10,cv_dsp0
87,group_dsp_maca,69,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Relu,0,maca
88,group_dsp_maca,68,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_1/Conv2d_0a_1x1/Relu,0,maca
89,group_dsp_maca,68,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_0/Conv2d_1x1/Relu,1,maca
90,group_dsp_maca,68,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_1/Conv2d_0a_1x1/Relu,2,maca
91,group_dsp_maca,68,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_0/Conv2d_1x1/Relu,3,maca
92,group_dsp_maca,68,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_1/Conv2d_0b_1x3/Relu,4,maca
93,group_dsp_maca,68,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_1/Conv2d_0b_1x3/Relu,5,maca
94,group_dsp_maca,68,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_1/Conv2d_0c_3x1/Relu,6,maca
95,group_dsp_maca,68,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Branch_1/Conv2d_0c_3x1/Relu,7,maca
96,group_dsp_maca,68,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/concat,8,maca
97,group_dsp_maca,68,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/mul,9,maca
98,group_dsp_maca,68,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_3/Relu,10,cv_dsp0
99,group_dsp_maca,67,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_2/Relu,0,maca
100,group_dsp_maca,66,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_2/Branch_1/Conv2d_0a_1x1/Relu,2,maca
101,group_dsp_maca,66,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_2/Branch_0/Conv2d_1x1/Relu,0,maca
