,group_id,graph_id,op_id,order,dispatch
0,group0,12,node140,2.0,cv_dsp0
1,group0,12,node138,0.0,cv_dsp0
2,group0,12,node139,1.0,cv_dsp0
3,group0,12,node141,3.0,cv_dsp0
4,group0,11,node126,1.0,maca
5,group0,11,node124,2.0,maca
6,group0,11,node134,0.0,maca
7,group0,11,node130,4.0,maca
8,group0,11,node127,3.0,maca
9,group0,11,node125,6.0,maca
10,group0,11,node135,7.0,maca
11,group0,11,node131,8.0,maca
12,group0,11,node128,5.0,maca
13,group0,11,node136,9.0,maca
14,group0,11,node132,10.0,maca
15,group0,11,node129,11.0,maca
16,group0,11,node133,12.0,maca
17,group0,11,node137,13.0,maca
18,group0,10,node116,1.0,maca
19,group0,10,node112,0.0,maca
20,group0,10,node110,4.0,maca
21,group0,10,node120,3.0,maca
22,group0,10,node117,8.0,maca
23,group0,10,node113,2.0,maca
24,group0,10,node111,7.0,maca
25,group0,10,node121,5.0,maca
26,group0,10,node118,11.0,maca
27,group0,10,node114,9.0,maca
28,group0,10,node122,6.0,maca
29,group0,10,node119,12.0,maca
30,group0,10,node115,10.0,maca
31,group0,10,node123,13.0,maca
32,group0,9,node109,0.0,maca
33,group0,8,node101,0.0,maca
34,group0,8,node97,1.0,maca
35,group0,8,node105,3.0,maca
36,group0,8,node95,9.0,maca
37,group0,8,node102,4.0,maca
38,group0,8,node98,2.0,maca
39,group0,8,node106,6.0,maca
40,group0,8,node96,11.0,maca
41,group0,8,node103,7.0,maca
42,group0,8,node99,5.0,maca
43,group0,8,node107,8.0,maca
44,group0,8,node104,10.0,maca
45,group0,8,node100,12.0,maca
46,group0,8,node108,13.0,maca
47,group0,7,node83,0.0,maca
48,group0,7,node91,4.0,maca
49,group0,7,node81,5.0,maca
50,group0,7,node87,3.0,maca
51,group0,7,node84,1.0,maca
52,group0,7,node92,6.0,maca
53,group0,7,node82,8.0,maca
54,group0,7,node88,9.0,maca
55,group0,7,node85,2.0,maca
56,group0,7,node93,12.0,maca
57,group0,7,node89,10.0,maca
58,group0,7,node86,7.0,maca
59,group0,7,node90,11.0,maca
60,group0,7,node94,13.0,maca
61,group0,6,node73,1.0,maca
62,group0,6,node69,0.0,maca
63,group0,6,node77,3.0,maca
64,group0,6,node67,2.0,maca
65,group0,6,node74,8.0,maca
66,group0,6,node70,4.0,maca
67,group0,6,node78,7.0,maca
68,group0,6,node68,5.0,maca
69,group0,6,node75,10.0,maca
