,group_id,graph_id,op_id,order,dispatch
0,group_dsp_maca,12,InceptionV3/Logits/AvgPool_1a_8x8/AvgPool,0,maca
1,group_dsp_maca,12,InceptionV3/Logits/Conv2d_1c_1x1/BiasAdd,1,maca
2,group_dsp_maca,12,TFLITE2ONNX_Transposed_InceptionV3/Logits/Conv2d_1c_1x1/BiasAdd,2,cv_dsp0
3,group_dsp_maca,12,InceptionV3/Logits/SpatialSqueeze,3,cv_dsp0
4,group_dsp_maca,12,InceptionV3/Predictions/Reshape_1,4,cv_dsp0
5,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu,4,maca
6,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,16,maca
7,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool,0,maca
8,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu,1,maca
9,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu,8,maca
10,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,18,maca
11,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu,5,maca
12,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu,2,maca
13,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Relu,9,maca
14,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu,15,maca
15,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu,6,maca
16,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu,3,maca
17,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Relu,10,maca
18,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu,7,maca
19,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu,11,maca
20,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu,17,maca
21,group_dsp_maca,11,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Relu,12,maca
22,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_1/concat,13,maca
23,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu,19,maca
24,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Relu,14,maca
25,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/Branch_2/concat,20,maca
26,group_dsp_maca,11,InceptionV3/InceptionV3/Mixed_7c/concat,21,maca
27,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_3/AvgPool_0a_3x3/AvgPool,0,cv_dsp0
28,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu,11,maca
29,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu,2,maca
30,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu,1,maca
31,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,9,maca
32,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu,12,maca
33,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu,3,maca
34,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu,4,maca
35,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,10,maca
36,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu,5,maca
37,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,7,maca
38,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu,6,maca
39,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu,13,maca
40,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,15,maca
41,group_dsp_maca,10,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu,8,maca
42,group_dsp_maca,10,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,17,maca
