,group_id,graph_id,op_id,order,dispatch
0,group0,27,Slice_1096,0,cv_dsp0
1,group0,27,Slice_1073,1,cv_dsp0
2,group0,27,Slice_1064,2,cv_dsp0
3,group0,27,Slice_1091,3,cv_dsp0
4,group0,27,Slice_1082,4,cv_dsp0
5,group0,27,Mul_1075,5,cv_dsp0
6,group0,27,Mul_1066,6,cv_dsp0
7,group0,27,Mul_1084,7,cv_dsp0
8,group0,27,Add_1077,8,cv_dsp0
9,group0,27,Add_1068,9,cv_dsp0
10,group0,27,Add_1086,10,cv_dsp0
11,group0,27,Concat_1097,11,cv_dsp0
12,group0,26,Mul_1014,0,cv_dsp0
13,group0,26,Add_1015,1,cv_dsp0
14,group0,26,Relu_1016,2,cv_dsp0
15,group0,26,MatMul_1017,3,cv_dsp0
16,group0,26,Add_1018,4,cv_dsp0
17,group0,26,Unsqueeze_1055,5,cv_dsp0
18,group0,26,Concat_1056,6,cv_dsp0
19,group0,25,Unsqueeze_1058,0,cv_dsp0
20,group0,25,Concat_1059,1,cv_dsp0
21,group0,24,Mul_1000,0,cv_dsp0
22,group0,24,Add_1001,1,cv_dsp0
23,group0,24,Relu_1002,2,cv_dsp0
24,group0,24,MatMul_1003,3,cv_dsp0
25,group0,24,Add_1004,4,cv_dsp0
26,group0,24,ReduceMean_1005,5,cv_dsp0
27,group0,24,Sub_1006,6,cv_dsp0
28,group0,24,Pow_1008,7,cv_dsp0
29,group0,24,ReduceMean_1009,8,cv_dsp0
30,group0,24,Add_1011,9,cv_dsp0
31,group0,24,Sqrt_1012,10,cv_dsp0
32,group0,24,Div_1013,11,cv_dsp0
33,group0,23,Slice_1039,0,cv_dsp0
34,group0,23,Slice_1052,1,cv_dsp0
35,group0,23,Slice_1031,2,cv_dsp0
36,group0,23,Slice_1047,3,cv_dsp0
37,group0,23,Add_1041,4,cv_dsp0
38,group0,23,Add_1033,5,cv_dsp0
39,group0,23,Sigmoid_1042,6,cv_dsp0
40,group0,23,Sigmoid_1034,7,cv_dsp0
41,group0,23,Concat_1053,8,cv_dsp0
42,group0,22,MatMul_989,0,cv_dsp0
43,group0,22,Add_990,1,cv_dsp0
44,group0,22,ReduceMean_991,2,cv_dsp0
45,group0,22,Sub_992,3,cv_dsp0
46,group0,22,Pow_994,4,cv_dsp0
47,group0,22,ReduceMean_995,5,cv_dsp0
48,group0,22,Add_997,6,cv_dsp0
49,group0,22,Sqrt_998,7,cv_dsp0
50,group0,22,Div_999,8,cv_dsp0
51,group0,21,MatMul_1019,0,cv_dsp0
52,group0,21,Add_1020,1,cv_dsp0
53,group0,21,Relu_1021,2,cv_dsp0
54,group0,21,MatMul_1022,3,cv_dsp0
55,group0,21,Add_1023,4,cv_dsp0
56,group0,21,Relu_1024,5,cv_dsp0
57,group0,21,MatMul_1025,6,cv_dsp0
58,group0,21,Add_1026,7,cv_dsp0
59,group0,20,Add_956,0,cv_dsp0
60,group0,20,Transpose_957,1,cv_dsp0
61,group0,20,Reshape_969,2,cv_dsp0
62,group0,20,Conv_970,3,maca
63,group0,20,Relu_971,4,cv_dsp0
64,group0,20,Conv_972,5,maca
65,group0,20,Relu_973,6,cv_dsp0
66,group0,20,Conv_974,7,maca
67,group0,20,Relu_975,8,cv_dsp0
68,group0,20,Reshape_987,9,cv_dsp0
69,group0,20,Transpose_988,10,cv_dsp0
70,group0,19,Reshape_231,0,cv_dsp0
71,group0,19,Conv_120,1,maca
72,group0,19,Tile_234,2,cv_dsp0
73,group0,19,Relu_121,3,cv_dsp0
74,group0,19,MatMul_235,4,cv_dsp0
75,group0,19,Conv_122,5,maca
76,group0,19,Squeeze_add_by_lhy,6,cv_dsp0
77,group0,19,Relu_123,7,cv_dsp0
78,group0,19,Slice_249,8,cv_dsp0
79,group0,19,Conv_124,9,maca
80,group0,19,Slice_254,10,cv_dsp0
81,group0,19,Add_125,11,cv_dsp0
82,group0,19,Sub_256,12,cv_dsp0
83,group0,19,Relu_126,13,cv_dsp0
84,group0,19,Div_258,14,cv_dsp0
85,group0,19,Conv_127,15,maca
86,group0,19,ScatterND_328,16,cv_dsp0
87,group0,19,Relu_128,17,cv_dsp0
88,group0,19,Slice_333,18,cv_dsp0
89,group0,19,Conv_129,19,maca
90,group0,19,Sub_335,20,cv_dsp0
91,group0,19,Relu_130,21,cv_dsp0
92,group0,19,Div_337,22,cv_dsp0
93,group0,19,Conv_131,23,maca
94,group0,19,ScatterND_470,24,cv_dsp0
95,group0,19,Add_132,25,cv_dsp0
96,group0,19,Slice_475,26,cv_dsp0
97,group0,19,Relu_133,27,cv_dsp0
98,group0,19,Sub_477,28,cv_dsp0
99,group0,19,Reshape_134,29,cv_dsp0
100,group0,19,Div_479,30,cv_dsp0
101,group0,19,Reshape_146,31,cv_dsp0
102,group0,19,Reshape_614,32,cv_dsp0
103,group0,19,ScatterND_612,33,cv_dsp0
104,group0,19,Conv_147,34,maca
105,group0,19,Conv_615,35,maca
106,group0,19,Reshape_613,36,cv_dsp0
107,group0,19,Transpose_678,37,cv_dsp0
108,group0,19,Relu_616,38,cv_dsp0
109,group0,19,Reshape_679,39,cv_dsp0
110,group0,19,Conv_617,40,maca
111,group0,19,Transpose_618,41,cv_dsp0
112,group0,19,Reshape_619,42,cv_dsp0
113,group0,19,Softmax_620,43,cv_dsp0
114,group0,19,Unsqueeze_622,44,cv_dsp0
115,group0,19,Mul_623,45,cv_dsp0
116,group0,19,ReduceSum_625,46,cv_dsp0
117,group0,19,Reshape_626,47,cv_dsp0
118,group0,19,Slice_640,48,cv_dsp0
119,group0,19,Slice_660,49,cv_dsp0
120,group0,19,Mul_681,50,cv_dsp0
121,group0,19,Unsqueeze_644,51,cv_dsp0
122,group0,19,Unsqueeze_664,52,cv_dsp0
123,group0,19,Gather_683,53,cv_dsp0
124,group0,19,Gather_689,54,cv_dsp0
125,group0,19,Gather_695,55,cv_dsp0
126,group0,19,Sub_645,56,cv_dsp0
127,group0,19,Sub_665,57,cv_dsp0
128,group0,19,Unsqueeze_685,58,cv_dsp0
129,group0,19,Unsqueeze_691,59,cv_dsp0
130,group0,19,Unsqueeze_697,60,cv_dsp0
131,group0,19,Pow_647,61,cv_dsp0
132,group0,19,Pow_667,62,cv_dsp0
133,group0,19,Div_687,63,cv_dsp0
134,group0,19,Div_693,64,cv_dsp0
135,group0,19,Div_699,65,cv_dsp0
136,group0,19,ReduceSum_649,66,cv_dsp0
137,group0,19,ReduceSum_669,67,cv_dsp0
138,group0,19,Slice_704,68,cv_dsp0
139,group0,19,Slice_710,69,cv_dsp0
140,group0,19,Slice_729,70,cv_dsp0
141,group0,19,Slice_735,71,cv_dsp0
142,group0,19,Slice_754,72,cv_dsp0
143,group0,19,Slice_760,73,cv_dsp0
144,group0,19,Pow_650,74,cv_dsp0
145,group0,19,Pow_670,75,cv_dsp0
146,group0,19,Sin_705,76,cv_dsp0
147,group0,19,Cos_711,77,cv_dsp0
148,group0,19,Sin_730,78,cv_dsp0
149,group0,19,Cos_736,79,cv_dsp0
150,group0,19,Sin_755,80,cv_dsp0
151,group0,19,Cos_761,81,cv_dsp0
152,group0,19,Pow_672,82,cv_dsp0
153,group0,19,Pow_674,83,cv_dsp0
154,group0,19,Unsqueeze_713,84,cv_dsp0
155,group0,19,Unsqueeze_715,85,cv_dsp0
156,group0,19,Unsqueeze_738,86,cv_dsp0
157,group0,19,Unsqueeze_740,87,cv_dsp0
158,group0,19,Unsqueeze_763,88,cv_dsp0
159,group0,19,Unsqueeze_765,89,cv_dsp0
160,group0,19,Add_675,90,cv_dsp0
161,group0,19,Concat_716,91,cv_dsp0
162,group0,19,Concat_741,92,cv_dsp0
163,group0,19,Concat_766,93,cv_dsp0
164,group0,19,Pow_677,94,cv_dsp0
165,group0,19,Reshape_724,95,cv_dsp0
166,group0,19,Reshape_749,96,cv_dsp0
167,group0,19,Reshape_774,97,cv_dsp0
168,group0,19,Mul_783,98,cv_dsp0
169,group0,19,Mul_792,99,cv_dsp0
170,group0,19,Mul_801,100,cv_dsp0
171,group0,19,Mul_810,101,cv_dsp0
172,group0,19,Mul_819,102,cv_dsp0
173,group0,19,Mul_828,103,cv_dsp0
174,group0,19,Mul_837,104,cv_dsp0
175,group0,19,Mul_846,105,cv_dsp0
176,group0,19,Concat_775,106,cv_dsp0
177,group0,19,Softmax_784,107,cv_dsp0
178,group0,19,Softmax_793,108,cv_dsp0
179,group0,19,Softmax_802,109,cv_dsp0
180,group0,19,Softmax_811,110,cv_dsp0
181,group0,19,Softmax_820,111,cv_dsp0
182,group0,19,Softmax_829,112,cv_dsp0
183,group0,19,Softmax_838,113,cv_dsp0
184,group0,19,Softmax_847,114,cv_dsp0
185,group0,19,MatMul_776,115,cv_dsp0
186,group0,19,Add_777,116,cv_dsp0
187,group0,19,Relu_778,117,cv_dsp0
188,group0,19,MatMul_779,118,cv_dsp0
189,group0,19,Add_780,119,cv_dsp0
190,group0,19,Add_781,120,cv_dsp0
191,group0,19,MatMul_785,121,cv_dsp0
192,group0,19,MatMul_794,122,cv_dsp0
193,group0,19,MatMul_803,123,cv_dsp0
194,group0,19,MatMul_812,124,cv_dsp0
195,group0,19,MatMul_821,125,cv_dsp0
196,group0,19,MatMul_830,126,cv_dsp0
197,group0,19,MatMul_839,127,cv_dsp0
198,group0,19,MatMul_848,128,cv_dsp0
199,group0,19,Add_786,129,cv_dsp0
200,group0,19,Add_795,130,cv_dsp0
201,group0,19,Add_804,131,cv_dsp0
202,group0,19,Add_813,132,cv_dsp0
203,group0,19,Add_822,133,cv_dsp0
204,group0,19,Add_831,134,cv_dsp0
205,group0,19,Add_840,135,cv_dsp0
206,group0,19,Add_849,136,cv_dsp0
207,group0,19,Relu_787,137,cv_dsp0
208,group0,19,Relu_796,138,cv_dsp0
209,group0,19,Relu_805,139,cv_dsp0
210,group0,19,Relu_814,140,cv_dsp0
211,group0,19,Relu_823,141,cv_dsp0
212,group0,19,Relu_832,142,cv_dsp0
213,group0,19,Relu_841,143,cv_dsp0
214,group0,19,Relu_850,144,cv_dsp0
215,group0,19,MatMul_788,145,cv_dsp0
216,group0,19,MatMul_797,146,cv_dsp0
217,group0,19,MatMul_806,147,cv_dsp0
218,group0,19,MatMul_815,148,cv_dsp0
219,group0,19,MatMul_824,149,cv_dsp0
220,group0,19,MatMul_833,150,cv_dsp0
221,group0,19,MatMul_842,151,cv_dsp0
222,group0,19,MatMul_851,152,cv_dsp0
223,group0,19,Add_789,153,cv_dsp0
224,group0,19,Add_798,154,cv_dsp0
225,group0,19,Add_807,155,cv_dsp0
226,group0,19,Add_816,156,cv_dsp0
227,group0,19,Add_825,157,cv_dsp0
228,group0,19,Add_834,158,cv_dsp0
229,group0,19,Add_843,159,cv_dsp0
230,group0,19,Add_852,160,cv_dsp0
