,group_id,graph_id,time
0,group0,27,369094.0
1,group0,26,2706993.0
2,group0,25,2075422.0
3,group0,24,638534.0
4,group0,23,2185331.0
5,group0,22,4469940.0
6,group0,21,856553.0
7,group0,20,4050930.0
8,group0,19,3985174.0
9,group0,18,3985174.0
10,group0,17,4024073.0
11,group0,16,2048293.0
12,group0,15,8654965.0
13,group0,14,8654965.0
14,group0,13,8654965.0
15,group0,12,8654965.0
16,group0,11,8654965.0
17,group0,10,5730671.0
18,group0,9,2864854.0
19,group0,8,10503862.0
20,group0,7,10503862.0
21,group0,6,10503862.0
22,group0,5,6763007.0
23,group0,4,3897275.0
24,group0,3,19005683.0
25,group0,2,19005683.0
26,group0,1,14230319.0
27,group0,0,11795250.0
28,group1,27,369094.0
29,group1,26,2706993.0
30,group1,25,3142467.0
31,group1,24,638534.0
32,group1,23,2185331.0
33,group1,22,4469940.0
34,group1,21,856553.0
35,group1,20,4050930.0
36,group1,19,3985174.0
37,group1,18,3985174.0
38,group1,17,4024073.0
39,group1,16,2048293.0
40,group1,15,8654965.0
41,group1,14,8654965.0
42,group1,13,8654965.0
43,group1,12,8654965.0
44,group1,11,8654965.0
45,group1,10,5730671.0
46,group1,9,2864854.0
47,group1,8,10503862.0
48,group1,7,10503862.0
49,group1,6,10503862.0
50,group1,5,6763007.0
51,group1,4,3897275.0
52,group1,3,19005683.0
53,group1,2,19005683.0
54,group1,1,14230319.0
55,group1,0,11795250.0
56,group2,27,369094.0
57,group2,26,2706993.0
58,group2,25,2473968.0
59,group2,24,638534.0
60,group2,23,2185331.0
61,group2,22,
62,group2,21,856553.0
63,group2,20,5878578.0
64,group2,19,55827770.0
65,group2,18,55827770.0
66,group2,17,99607092.0
67,group2,16,2048293.0
68,group2,15,60497561.0
69,group2,14,60497561.0
70,group2,13,60497561.0
71,group2,12,60497561.0
72,group2,11,60497561.0
73,group2,10,101313690.0
74,group2,9,2864854.0
75,group2,8,62346458.0
76,group2,7,62346458.0
77,group2,6,62346458.0
78,group2,5,102346026.0
79,group2,4,3897275.0
80,group2,3,70848279.0
81,group2,2,70848279.0
82,group2,1,63906236.0
83,group2,0,64668949.0
